排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.679,-0.26,1103.25,1103.25,28.35,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(520.89亿)；沪深300ETF华夏(409.83亿)；沪深300ETF嘉实(307.08亿)；沪深300ETF天弘(83.12亿)
2,588000,科创50ETF华夏,1.756,-1.79,878.8,878.8,49.03,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(419.94亿)；科创50ETF工银(108.72亿)；科创50ETF广发(76.17亿)
3,159915,创业板ETF易方达,3.443,-1.46,646.99,646.99,51.8,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(115.36亿)；创业板ETF天弘(65.76亿)
4,512880,证券ETF国泰,1.104,-0.18,633.36,633.36,19.19,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(385.79亿)；证券ETF天弘(120.96亿)；券商ETF银华(96.0亿)；证券ETF南方(81.79亿)
5,588200,科创芯片ETF嘉实,1.174,-2.41,496.11,496.11,27.07,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(75.64亿)
6,588170,科创半导体ETF华夏,1.0,-3.01,440.13,440.13,52.04,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(117.08亿)
7,159516,半导体设备ETF国泰,0.721,-2.96,436.14,436.14,34.15,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(214.38亿)；半导体设备ETF广发(137.08亿)；半导体设备ETF华夏(92.12亿)
8,510500,中证500ETF南方,7.923,-0.63,428.39,428.39,21.25,中证500指数,指数型-股票,中证500,中证500ETF嘉实(90.53亿)；中证500ETF华夏(83.92亿)
9,515880,通信ETF国泰,0.668,-1.47,419.61,419.61,31.9,中证全指通信设备指数,指数型-股票,通信,
10,563360,A500ETF华泰柏瑞,1.291,-0.31,411.45,411.45,38.7,中证A500指数,指数型-股票,中证A500,A500ETF南方(342.03亿)；A500ETF易方达(292.77亿)；中证A500ETF国泰(262.4亿)；A500ETF华夏(200.78亿)
11,512890,红利低波ETF华泰柏瑞,1.184,0.08,332.76,332.76,5.12,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(129.37亿)
12,159995,芯片ETF华夏,1.154,-2.29,278.47,278.47,6.39,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(65.96亿)
13,512400,有色金属ETF南方,1.982,0.76,272.53,272.53,9.49,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.611,-1.47,247.66,247.66,15.25,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.342,-1.16,244.65,244.65,3.21,中证医疗指数,指数型-股票,医药,
16,512100,中证1000ETF南方,3.127,-0.32,212.42,212.42,24.24,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(70.12亿)；中证1000ETF广发(59.62亿)
17,159819,人工智能ETF易方达,1.736,-0.97,210.6,210.6,4.04,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(82.81亿)
18,510050,上证50ETF华夏,3.037,-0.1,209.86,209.86,8.95,上证50指数,指数型-股票,上证50,
19,510880,红利ETF华泰柏瑞,3.461,0.2,201.94,201.94,4.58,上证红利指数,指数型-股票,红利,
20,159326,电网设备ETF华夏,1.678,-0.94,201.63,201.63,6.01,中证电网设备主题指数,指数型-股票,其他,
21,515450,红利低波50ETF南方,1.404,0.0,200.59,200.59,1.76,标普中国A股大盘红利低波50指数,指数型-股票,红利,
22,512480,半导体ETF国联安,1.039,-2.26,199.05,199.05,12.35,中证全指半导体产品与设备指数,指数型-股票,半导体,
23,515180,红利ETF易方达,1.462,0.21,188.3,188.3,3.06,中证红利指数,指数型-股票,红利,中证红利ETF招商(114.84亿)
24,515050,通信ETF华夏,1.036,-1.33,180.26,180.26,9.24,中证5G通信主题指数,指数型-股票,通信,
25,562500,机器人ETF华夏,0.954,-1.14,176.85,176.85,5.04,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(60.29亿)
26,510180,上证180ETF华安,3.988,-0.05,176.19,176.19,0.46,上证180指数,指数型-股票,上证180,
27,159781,科创创业ETF易方达,1.083,-1.55,171.86,171.86,4.47,中证科创创业50指数,指数型-股票,科创板,
28,159530,机器人ETF易方达,1.321,-1.12,168.46,168.46,4.59,国证机器人产业指数,指数型-股票,机器人,
29,159201,自由现金流ETF华夏,1.197,0.93,164.21,164.21,3.03,国证自由现金流指数,指数型-股票,货币市场,
30,159992,创新药ETF银华,0.862,-1.49,164.21,164.21,6.19,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(109.65亿)
31,517520,黄金股ETF永赢,2.286,1.74,155.66,155.66,8.35,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(65.26亿)
32,159928,消费ETF汇添富,0.671,0.9,154.82,154.82,1.87,中证主要消费指数,指数型-股票,消费,
33,512010,医药ETF易方达,0.383,-0.78,153.95,153.95,2.14,沪深300医药卫生指数,指数型-股票,医药,
34,510210,上证指数ETF富国,1.009,-0.1,153.46,153.46,6.76,上证综合指数,指数型-股票,其他,
35,515220,煤炭ETF国泰,1.35,0.67,142.41,142.41,7.02,中证煤炭指数,指数型-股票,煤炭,
36,159870,化工ETF鹏华,0.835,1.83,138.35,138.35,6.42,细分化工,指数型-股票,化工,
37,512690,酒ETF鹏华,0.423,0.48,135.98,135.98,3.96,中证酒指数,指数型-股票,白酒,
38,512070,证券保险ETF易方达,0.807,-0.49,133.9,133.9,4.1,沪深300非银行金融指数,指数型-股票,证券,
39,159206,卫星ETF永赢,1.338,-1.04,127.64,127.64,3.16,国证商用卫星通信产业指数,指数型-股票,通信,
40,513630,港股低波红利ETF摩根,1.593,0.0,120.21,120.21,2.1,标普港股通低波红利指数,指数型-股票,红利,
41,512760,芯片ETF国泰,1.101,-2.05,104.21,104.21,3.52,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,516650,有色金属ETF华夏,1.934,0.57,101.93,101.93,1.97,细分有色,指数型-股票,有色金属,
43,159611,电力ETF广发,1.041,-0.29,99.44,99.44,2.94,中证全指电力公用事业指数,指数型-股票,电力,
44,512800,银行ETF华宝,0.817,-0.24,98.46,98.46,6.46,中证银行指数,指数型-股票,银行,
45,159852,软件ETF嘉实,0.685,0.88,95.99,95.99,7.89,中证软件服务指数,指数型-股票,计算机,
46,560860,工业有色ETF万家,1.674,0.36,89.13,89.13,2.73,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(70.7亿)
47,159869,游戏ETF华夏,1.079,0.09,87.41,87.41,4.28,中证动漫游戏指数,指数型-股票,传媒,
48,159755,电池ETF广发,0.95,-0.31,76.27,76.27,2.61,国证新能源车电池指数,指数型-股票,新能源,
49,159307,红利低波100ETF博时,1.028,0.1,73.18,73.18,0.95,中证红利低波动100指数,指数型-股票,红利,
50,512710,军工龙头ETF富国,0.622,0.81,72.9,72.9,2.58,中证军工龙头指数,指数型-股票,军工,
51,159263,价值ETF易方达,1.158,0.0,72.1,72.1,3.15,国证价值100指数,指数型-股票,价值,
52,563300,中证2000ETF华泰柏瑞,1.44,0.07,70.25,70.25,7.04,中证2000指数,指数型-股票,中证2000,
53,159363,创业板人工智能ETF华宝,1.218,-1.14,70.06,70.06,11.29,创业板人工智能指数,指数型-股票,人工智能,
54,516150,稀土ETF嘉实,1.753,-0.68,67.6,67.6,1.32,中证稀土产业指数,指数型-股票,有色金属,
55,159865,养殖ETF国泰,0.547,0.74,67.27,67.27,2.31,中证畜牧养殖指数,指数型-股票,农业,
56,512660,军工ETF国泰,1.123,0.18,65.85,65.85,4.13,中证军工指数,指数型-股票,军工,
57,159851,金融科技ETF华宝,0.637,-0.78,64.6,64.6,3.09,中证金融科技主题指数,指数型-股票,其他,
58,588220,科创100ETF鹏华,1.776,-1.99,63.87,63.87,4.8,上证科创板100指数,指数型-股票,科创板,
59,515980,人工智能ETF华富,1.017,-0.97,63.45,63.45,2.07,中证人工智能产业指数,指数型-股票,人工智能,
60,512950,央企改革ETF华夏,1.515,-0.26,61.24,61.24,0.11,中证央企结构调整指数,指数型-股票,央企国企,
61,159259,成长ETF易方达,1.339,-1.62,60.95,60.95,6.35,国证成长100指数,指数型-股票,成长,
62,159967,创业板成长ETF华夏,0.78,-1.52,58.21,58.21,6.51,创业板动量成长指数,指数型-股票,成长,
63,561980,半导体设备ETF招商,,,,,,,,,
