排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,37.06,19.58,29.46,93.85,26.58,49.14,4.65,-2.78,14.29,74.9,1.45,48.08
2,588000,科创50ETF华夏,35.83,4.71,39.0,103.38,7.55,56.79,1.76,-6.78,78.51,85.03,7.79,92.29
3,512880,证券ETF国泰,-1.26,12.23,24.28,9.57,35.51,30.68,1.06,-1.39,14.76,8.18,1.26,13.56
4,159915,创业板ETF易方达,32.23,22.94,29.03,94.61,24.59,50.07,3.5,-5.99,42.05,47.12,5.75,67.8
5,588200,科创芯片ETF嘉实,37.67,8.26,43.26,104.96,8.08,58.91,1.18,-7.45,121.04,80.45,,
6,159516,半导体设备ETF国泰,58.06,18.07,52.36,106.28,16.18,62.77,0.74,-6.92,114.69,95.98,,
7,563360,A500ETF华泰柏瑞,29.08,22.04,27.68,92.65,28.51,50.09,1.28,-3.61,16.26,73.58,,
8,588170,科创半导体ETF华夏,61.86,17.81,52.21,107.75,16.12,62.23,1.02,-7.61,43.5,82.87,,
9,515880,通信ETF国泰,45.78,21.4,31.94,100.61,19.99,47.85,0.65,-8.32,48.21,90.58,,
10,510500,中证500ETF南方,30.34,27.56,33.32,96.96,29.05,47.83,7.8,-4.7,27.67,71.69,2.46,78.76
11,512890,红利低波ETF华泰柏瑞,90.25,86.71,71.16,37.4,80.54,46.65,1.18,1.64,7.86,71.35,0.86,60.68
12,159995,芯片ETF华夏,36.39,5.43,34.82,103.49,5.7,53.97,1.16,-8.23,,,,
13,512170,医疗ETF华宝,39.74,96.65,37.94,71.94,106.86,20.43,0.34,-3.68,29.37,29.76,3.57,15.56
14,512400,有色金属ETF南方,7.65,58.0,3.85,41.21,62.04,3.66,1.86,-3.78,15.97,85.99,,
15,159949,创业板50ETF华安,31.03,20.55,23.14,94.57,21.91,46.66,1.64,-6.18,,,,
16,159326,电网设备ETF华夏,22.85,19.3,22.66,82.77,19.52,39.81,1.66,-5.09,12.63,85.19,,
17,510880,红利ETF华泰柏瑞,89.83,112.14,78.94,86.53,105.67,52.15,3.36,0.6,8.71,78.03,0.86,62.2
18,159819,人工智能ETF易方达,29.47,10.4,36.12,89.9,19.91,61.04,1.74,-7.35,47.85,60.69,,
19,510050,上证50ETF华夏,23.31,46.52,30.38,49.22,62.41,37.31,3.0,-1.54,11.61,79.39,1.25,57.84
20,515450,红利低波50ETF南方,58.19,71.75,68.14,15.55,73.86,66.16,1.41,0.93,8.47,78.68,0.86,60.68
21,512480,半导体ETF国联安,36.33,7.82,38.67,101.78,6.55,56.06,1.05,-7.24,90.7,87.12,,
22,512100,中证1000ETF南方,34.87,37.29,22.3,95.26,37.33,32.23,3.05,-5.07,31.8,68.31,2.41,46.04
23,515180,红利ETF易方达,75.12,109.53,56.16,49.84,102.65,39.06,1.43,0.7,8.48,59.44,0.84,48.84
24,159992,创新药ETF银华,53.92,91.24,74.75,74.95,96.57,46.78,0.9,-2.39,30.44,43.4,,
25,510180,上证180ETF华安,18.51,43.91,26.42,64.05,53.45,36.29,3.95,-2.2,12.11,68.34,1.23,43.28
26,515050,通信ETF华夏,39.68,19.75,36.36,100.36,19.52,52.09,1.01,-8.27,48.13,91.69,,
27,562500,机器人ETF华夏,26.94,16.05,12.18,91.7,22.43,30.53,0.96,-7.81,52.59,51.83,,
28,159781,科创创业ETF易方达,36.71,9.16,33.75,99.25,11.29,55.73,1.1,-6.61,43.23,61.11,,
29,159530,机器人ETF易方达,27.29,15.77,10.4,92.9,19.87,21.54,1.34,-9.11,,,,
30,159201,自由现金流ETF华夏,44.57,104.85,15.55,59.47,102.27,11.78,1.18,-0.84,,,,
31,512010,医药ETF易方达,62.46,96.4,77.69,63.11,101.65,43.6,0.4,-0.25,24.3,7.51,,
32,517520,黄金股ETF永赢,41.44,95.66,7.09,43.3,96.04,-6.0,2.07,-0.62,21.4,51.62,,
33,159928,消费ETF汇添富,0.21,82.43,28.49,24.79,95.99,24.44,0.66,-1.64,19.83,19.41,3.46,1.96
34,510210,上证指数ETF富国,40.2,56.27,24.93,97.14,55.03,25.12,1.0,-2.16,15.26,71.97,,
35,515220,煤炭ETF国泰,74.72,102.48,41.74,87.16,82.28,29.77,1.27,0.08,18.88,87.55,1.79,97.24
36,159206,卫星ETF永赢,25.73,30.51,3.31,99.61,33.21,14.25,1.37,-7.93,,,,
37,512690,酒ETF鹏华,14.22,91.16,25.37,13.56,102.12,20.54,0.43,-0.69,19.23,16.41,,
38,512070,证券保险ETF易方达,0.18,34.07,5.57,11.91,56.49,10.48,0.77,-0.9,9.4,0.92,,
39,159870,化工ETF鹏华,6.68,46.96,16.09,32.53,46.94,26.76,0.8,-1.96,22.19,56.59,,
40,513630,港股低波红利ETF摩根,84.39,77.82,35.96,72.09,75.82,29.03,1.58,0.25,,,,
41,512760,芯片ETF国泰,35.71,5.47,37.98,100.92,6.4,56.85,1.11,-7.65,89.15,75.38,,
42,159611,电力ETF广发,-6.89,32.09,3.7,0.6,34.28,21.83,1.03,-0.96,15.97,70.87,,
43,512800,银行ETF华宝,93.01,84.38,79.03,43.77,75.37,55.3,0.82,2.24,6.79,76.96,0.68,43.16
44,516650,有色金属ETF华夏,10.54,66.51,1.48,38.65,69.32,-0.24,1.82,-3.03,19.12,24.93,,
45,159852,软件ETF嘉实,-7.38,59.55,-2.52,10.52,80.54,-3.49,0.68,-4.24,54.57,47.72,,
46,560860,工业有色ETF万家,8.52,47.67,8.18,45.11,51.65,13.51,1.6,-4.03,60.82,28.07,,
47,159869,游戏ETF华夏,-11.23,75.47,-3.03,9.44,100.68,-4.78,1.07,-3.52,19.28,13.17,,
48,159755,电池ETF广发,20.72,28.94,0.8,76.98,32.29,13.31,0.95,-3.55,25.05,36.84,3.44,47.88
49,159307,红利低波100ETF博时,35.53,73.07,51.75,18.5,81.17,50.43,1.02,0.29,8.7,79.48,,
50,512710,军工龙头ETF富国,17.77,36.1,-10.19,77.42,45.22,-10.35,0.61,-3.79,,,,
51,516150,稀土ETF嘉实,19.93,34.93,12.42,69.76,34.32,14.92,1.76,-4.13,30.19,34.23,,
52,159263,价值ETF易方达,54.05,93.29,50.57,25.38,90.66,47.21,1.15,0.79,,,,
53,159363,创业板人工智能ETF华宝,42.14,34.32,41.22,98.21,33.84,55.09,1.22,-7.56,,,,
54,159865,养殖ETF国泰,37.49,94.52,17.65,72.07,97.2,8.92,0.53,-3.1,22.74,52.6,,
55,512660,军工ETF国泰,24.66,33.7,-6.04,89.23,41.5,-2.15,1.11,-5.22,45.72,13.09,3.24,52.4
56,588220,科创100ETF鹏华,56.62,30.09,42.31,106.38,25.94,50.41,1.78,-7.61,,,,
57,563300,中证2000ETF华泰柏瑞,42.65,47.01,25.6,95.46,46.01,31.23,1.39,-5.07,39.02,67.03,,
58,512950,央企改革ETF华夏,31.08,37.91,32.61,90.49,41.63,42.73,1.5,-2.28,15.75,82.91,,
59,515980,人工智能ETF华富,29.27,15.24,36.47,91.5,23.64,59.7,1.01,-7.65,51.28,82.1,,
60,159851,金融科技ETF华宝,-10.15,44.25,-2.56,5.86,60.18,-3.75,0.6,-3.69,31.44,5.9,,
61,159796,电池ETF汇添富,42.19,30.58,8.2,87.45,30.66,22.56,0.86,-3.89,,,,
