排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.651,1.13,1230.97,1230.97,54.51,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(527.63亿)；沪深300ETF华夏(423.15亿)；沪深300ETF嘉实(321.19亿)；沪深300ETF天弘(87.85亿)
2,588000,科创50ETF华夏,1.706,4.28,877.48,877.48,105.14,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(401.35亿)；科创50ETF工银(103.91亿)；科创50ETF广发(76.11亿)
3,159915,创业板ETF易方达,3.514,5.68,716.77,716.77,96.46,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(117.31亿)；创业板ETF天弘(65.7亿)
4,512880,证券ETF国泰,1.104,-0.09,628.58,628.58,16.72,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(398.7亿)；证券ETF天弘(119.86亿)；券商ETF银华(100.9亿)；证券ETF南方(81.91亿)
5,588200,科创芯片ETF嘉实,1.099,5.57,481.47,481.47,50.32,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(72.76亿)
6,510500,中证500ETF南方,7.601,2.44,470.36,470.36,50.35,中证500指数,指数型-股票,中证500,中证500ETF嘉实(91.86亿)；中证500ETF华夏(85.12亿)
7,515880,通信ETF国泰,0.637,9.45,423.07,423.07,58.03,中证全指通信设备指数,指数型-股票,通信,
8,563360,A500ETF华泰柏瑞,1.279,1.83,422.56,422.56,38.1,中证A500指数,指数型-股票,中证A500,A500ETF南方(336.69亿)；中证A500ETF国泰(275.81亿)；A500ETF易方达(274.38亿)；A500ETF华夏(204.91亿)
9,588170,科创半导体ETF华夏,0.865,4.34,379.99,379.99,95.84,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(95.59亿)
10,159516,半导体设备ETF国泰,0.64,5.79,362.05,362.05,56.78,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(175.18亿)；半导体设备ETF广发(111.64亿)；半导体设备ETF华夏(76.88亿)
11,512890,红利低波ETF华泰柏瑞,1.176,-2.24,340.17,340.17,13.54,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(131.06亿)
12,512100,中证1000ETF南方,2.943,2.65,335.54,335.54,51.09,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(157.45亿)；中证1000ETF广发(78.01亿)
13,159949,创业板50ETF华安,1.666,6.11,268.07,268.07,30.56,创业板50指数,指数型-股票,创业板,
14,512170,医疗ETF华宝,0.334,1.83,263.85,263.85,6.16,中证医疗指数,指数型-股票,医药,
15,159995,芯片ETF华夏,1.095,5.39,255.04,255.04,12.88,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(64.38亿)
16,512400,有色金属ETF南方,1.809,1.74,232.82,232.82,8.27,有色金属,指数型-股票,有色金属,
17,510880,红利ETF华泰柏瑞,3.237,-1.46,223.67,223.67,8.51,上证红利指数,指数型-股票,红利,
18,510050,上证50ETF华夏,2.983,-0.23,215.2,215.2,15.66,上证50指数,指数型-股票,上证50,
19,159819,人工智能ETF易方达,1.822,5.87,209.73,209.73,7.77,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(85.13亿)
20,159326,电网设备ETF华夏,1.646,1.98,198.74,198.74,11.05,中证电网设备主题指数,指数型-股票,其他,
21,515450,红利低波50ETF南方,1.422,-2.2,195.08,195.08,2.23,标普中国A股大盘红利低波50指数,指数型-股票,红利,
22,510210,上证指数ETF富国,0.974,0.62,189.63,189.63,12.17,上证综合指数,指数型-股票,其他,
23,515180,红利ETF易方达,1.403,-1.47,189.13,189.13,7.38,中证红利指数,指数型-股票,红利,中证红利ETF招商(119.57亿)
24,512480,半导体ETF国联安,0.969,5.21,187.23,187.23,24.77,中证全指半导体产品与设备指数,指数型-股票,半导体,
25,562500,机器人ETF华夏,0.99,2.59,182.25,182.25,7.22,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(62.08亿)
26,515050,通信ETF华夏,0.986,8.95,179.21,179.21,15.44,中证5G通信主题指数,指数型-股票,通信,
27,159530,机器人ETF易方达,1.378,2.07,178.72,178.72,9.28,国证机器人产业指数,指数型-股票,机器人,
28,512010,医药ETF易方达,0.383,2.41,174.98,174.98,8.39,沪深300医药卫生指数,指数型-股票,医药,
29,159201,自由现金流ETF华夏,1.169,-1.35,173.82,173.82,4.85,国证自由现金流指数,指数型-股票,货币市场,
30,510180,上证180ETF华安,3.92,0.08,173.42,173.42,0.42,上证180指数,指数型-股票,上证180,
31,159992,创新药ETF银华,0.857,3.38,171.6,171.6,12.39,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(122.66亿)
32,159781,科创创业ETF易方达,1.099,5.67,169.39,169.39,7.69,中证科创创业50指数,指数型-股票,科创板,科创创业50ETF华夏(58.55亿)
33,159928,消费ETF汇添富,0.679,-1.59,158.27,158.27,4.65,中证主要消费指数,指数型-股票,消费,
34,512070,证券保险ETF易方达,0.804,-1.11,153.3,153.3,4.89,沪深300非银行金融指数,指数型-股票,证券,
35,512690,酒ETF鹏华,0.441,-1.56,145.08,145.08,6.66,中证酒指数,指数型-股票,白酒,
36,159206,卫星ETF永赢,1.327,3.83,143.94,143.94,6.3,国证商用卫星通信产业指数,指数型-股票,通信,
37,159870,化工ETF鹏华,0.783,0.64,142.56,142.56,2.91,细分化工,指数型-股票,化工,
38,515220,煤炭ETF国泰,1.172,-0.34,139.69,139.69,9.51,中证煤炭指数,指数型-股票,煤炭,
39,517520,黄金股ETF永赢,1.865,-0.59,128.12,128.12,4.89,中证沪深港黄金产业股票指数,指数型-股票,黄金,
40,513630,港股低波红利ETF摩根,1.587,-1.73,124.14,124.14,3.75,标普港股通低波红利指数,指数型-股票,红利,
41,159611,电力ETF广发,1.076,-0.92,109.43,109.43,5.1,中证全指电力公用事业指数,指数型-股票,电力,
42,512800,银行ETF华宝,0.811,-2.41,106.2,106.2,14.23,中证银行指数,指数型-股票,银行,
43,512760,芯片ETF国泰,1.046,5.02,100.01,100.01,6.7,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
44,159869,游戏ETF华夏,1.157,2.57,93.12,93.12,7.97,中证动漫游戏指数,指数型-股票,传媒,
