排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.751,0.89,1221.26,1221.26,44.75,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(536.55亿)；沪深300ETF华夏(432.94亿)；沪深300ETF嘉实(321.56亿)；沪深300ETF天弘(89.7亿)
2,588000,科创50ETF华夏,1.84,2.56,925.31,925.31,77.4,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(429.34亿)；科创50ETF工银(111.44亿)；科创50ETF广发(81.1亿)
3,159915,创业板ETF易方达,3.586,1.3,673.04,673.04,76.13,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(115.7亿)；创业板ETF天弘(64.06亿)
4,512880,证券ETF国泰,1.096,0.0,636.02,636.02,17.85,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(397.51亿)；证券ETF天弘(119.98亿)；券商ETF银华(99.97亿)；证券ETF南方(81.45亿)
5,588200,科创芯片ETF嘉实,1.217,3.14,525.83,525.83,43.04,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(75.08亿)
6,510500,中证500ETF南方,7.987,1.98,457.83,457.83,29.27,中证500指数,指数型-股票,中证500,中证500ETF嘉实(95.96亿)；中证500ETF华夏(86.25亿)
7,563360,A500ETF华泰柏瑞,1.317,1.39,441.67,441.67,45.96,中证A500指数,指数型-股票,中证A500,A500ETF南方(354.82亿)；A500ETF易方达(289.97亿)；中证A500ETF国泰(287.14亿)；A500ETF华夏(213.59亿)
8,515880,通信ETF国泰,0.66,1.23,410.87,410.87,42.14,中证全指通信设备指数,指数型-股票,通信,
9,159516,半导体设备ETF国泰,0.738,2.79,407.37,407.37,48.9,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(195.45亿)；半导体设备ETF广发(120.64亿)；半导体设备ETF华夏(83.8亿)
10,588170,科创半导体ETF华夏,1.015,3.89,392.54,392.54,76.26,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(101.66亿)
11,512100,中证1000ETF南方,3.111,2.03,328.44,328.44,67.85,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(141.35亿)；中证1000ETF广发(75.83亿)
12,512890,红利低波ETF华泰柏瑞,1.158,-0.69,322.31,322.31,9.03,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(124.56亿)
13,159995,芯片ETF华夏,1.212,2.97,283.56,283.56,9.79,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(69.19亿)
14,512170,医疗ETF华宝,0.346,4.53,270.34,270.34,12.35,中证医疗指数,指数型-股票,医药,
15,512400,有色金属ETF南方,1.985,3.55,262.7,262.7,12.89,有色金属,指数型-股票,有色金属,
16,159949,创业板50ETF华安,1.679,0.9,260.22,260.22,22.67,创业板50指数,指数型-股票,创业板,
17,510050,上证50ETF华夏,3.066,1.22,217.93,217.93,15.67,上证50指数,指数型-股票,上证50,
18,159819,人工智能ETF易方达,1.866,1.14,217.67,217.67,4.88,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(85.82亿)
19,510880,红利ETF华泰柏瑞,3.282,-0.18,212.83,212.83,5.3,上证红利指数,指数型-股票,红利,
20,159326,电网设备ETF华夏,1.698,1.31,212.32,212.32,10.16,中证电网设备主题指数,指数型-股票,其他,
21,512480,半导体ETF国联安,1.083,3.44,205.49,205.49,17.64,中证全指半导体产品与设备指数,指数型-股票,半导体,
22,515450,红利低波50ETF南方,1.395,-0.78,193.29,193.29,2.76,标普中国A股大盘红利低波50指数,指数型-股票,红利,
23,562500,机器人ETF华夏,1.021,1.19,189.81,189.81,7.42,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(64.44亿)
24,159530,机器人ETF易方达,1.417,1.07,187.63,187.63,9.28,国证机器人产业指数,指数型-股票,机器人,
25,159992,创新药ETF银华,0.91,6.56,187.51,187.51,18.82,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(128.92亿)
26,510210,上证指数ETF富国,1.004,0.9,185.68,185.68,12.54,上证综合指数,指数型-股票,其他,
27,159781,科创创业ETF易方达,1.145,1.6,180.81,180.81,7.22,中证科创创业50指数,指数型-股票,科创板,科创创业50ETF华夏(61.41亿)
28,510180,上证180ETF华安,4.047,1.28,178.96,178.96,0.68,上证180指数,指数型-股票,上证180,
29,515180,红利ETF易方达,1.414,-0.21,178.88,178.88,3.42,中证红利指数,指数型-股票,红利,中证红利ETF招商(117.61亿)
30,515050,通信ETF华夏,1.043,2.86,178.53,178.53,13.05,中证5G通信主题指数,指数型-股票,通信,
31,512010,医药ETF易方达,0.396,4.49,176.43,176.43,11.55,沪深300医药卫生指数,指数型-股票,医药,
32,159201,自由现金流ETF华夏,1.165,-0.09,169.24,169.24,5.96,国证自由现金流指数,指数型-股票,货币市场,
33,159928,消费ETF汇添富,0.672,0.45,159.24,159.24,3.7,中证主要消费指数,指数型-股票,消费,
34,517520,黄金股ETF永赢,2.112,3.99,158.63,158.63,15.45,中证沪深港黄金产业股票指数,指数型-股票,黄金,
35,159206,卫星ETF永赢,1.448,3.58,157.85,157.85,8.85,国证商用卫星通信产业指数,指数型-股票,通信,
36,159870,化工ETF鹏华,0.826,0.98,151.42,151.42,3.04,细分化工,指数型-股票,化工,
37,512070,证券保险ETF易方达,0.797,-0.13,149.64,149.64,3.73,沪深300非银行金融指数,指数型-股票,证券,
38,512690,酒ETF鹏华,0.435,0.23,144.85,144.85,9.23,中证酒指数,指数型-股票,白酒,
39,515220,煤炭ETF国泰,1.234,-0.72,133.22,133.22,12.41,中证煤炭指数,指数型-股票,煤炭,
40,513630,港股低波红利ETF摩根,1.56,-0.76,117.94,117.94,3.08,标普港股通低波红利指数,指数型-股票,红利,
41,512760,芯片ETF国泰,1.161,3.11,110.47,110.47,5.21,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,159611,电力ETF广发,1.059,0.0,107.07,107.07,6.41,中证全指电力公用事业指数,指数型-股票,电力,
43,516650,有色金属ETF华夏,1.932,3.32,102.31,102.31,3.79,细分有色,指数型-股票,有色金属,
44,560860,工业有色ETF万家,1.705,3.9,99.06,99.06,5.09,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(72.6亿)
45,512800,银行ETF华宝,0.798,-0.87,97.32,97.32,15.59,中证银行指数,指数型-股票,银行,
