排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.62,-1.37,1062.6,1062.6,29.41,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(506.23亿)；沪深300ETF华夏(403.46亿)；沪深300ETF嘉实(300.22亿)；沪深300ETF天弘(82.03亿)
2,588000,科创50ETF华夏,1.708,-1.84,873.59,873.59,50.2,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(412.57亿)；科创50ETF工银(107.59亿)；科创50ETF广发(74.41亿)
3,159915,创业板ETF易方达,3.335,-2.26,635.13,635.13,52.45,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(111.79亿)；创业板ETF天弘(63.42亿)
4,512880,证券ETF国泰,1.09,-2.07,613.93,613.93,18.29,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(375.45亿)；证券ETF天弘(117.81亿)；券商ETF银华(93.66亿)；证券ETF南方(80.51亿)
5,588200,科创芯片ETF嘉实,1.14,-1.72,485.23,485.23,21.92,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(74.34亿)
6,588170,科创半导体ETF华夏,0.947,-1.87,427.49,427.49,34.34,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(113.73亿)
7,159516,半导体设备ETF国泰,0.684,-1.72,427.45,427.45,23.18,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(207.56亿)；半导体设备ETF广发(131.58亿)；半导体设备ETF华夏(89.09亿)
8,515880,通信ETF国泰,0.648,-2.11,408.93,408.93,24.07,中证全指通信设备指数,指数型-股票,通信,
9,510500,中证500ETF南方,7.751,-1.65,402.23,402.23,29.14,中证500指数,指数型-股票,中证500,中证500ETF嘉实(84.77亿)；中证500ETF华夏(79.37亿)
10,563360,A500ETF华泰柏瑞,1.269,-1.4,398.85,398.85,40.61,中证A500指数,指数型-股票,中证A500,A500ETF南方(335.29亿)；A500ETF易方达(286.51亿)；中证A500ETF国泰(254.97亿)；A500ETF华夏(195.7亿)
11,512890,红利低波ETF华泰柏瑞,1.201,-0.58,324.6,324.6,10.32,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(127.83亿)
12,159995,芯片ETF华夏,1.121,-1.67,272.36,272.36,5.82,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(64.43亿)
13,512400,有色金属ETF南方,1.886,-2.53,268.24,268.24,12.4,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.553,-2.57,242.19,242.19,17.79,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.338,-0.88,242.16,242.16,3.11,中证医疗指数,指数型-股票,医药,
16,159819,人工智能ETF易方达,1.739,-1.81,209.68,209.68,3.44,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(82.58亿)
17,515450,红利低波50ETF南方,1.418,-0.28,200.89,200.89,1.45,标普中国A股大盘红利低波50指数,指数型-股票,红利,
18,510050,上证50ETF华夏,3.025,-0.98,197.65,197.65,12.28,上证50指数,指数型-股票,上证50,
19,512480,半导体ETF国联安,1.01,-1.94,197.5,197.5,11.06,中证全指半导体产品与设备指数,指数型-股票,半导体,
20,510880,红利ETF华泰柏瑞,3.428,-1.55,193.52,193.52,7.55,上证红利指数,指数型-股票,红利,
21,159326,电网设备ETF华夏,1.644,-0.66,193.4,193.4,3.64,中证电网设备主题指数,指数型-股票,其他,
22,512100,中证1000ETF南方,3.078,-1.41,191.98,191.98,32.81,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(62.56亿)；中证1000ETF广发(57.81亿)
