排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,83.76,15.8,36.22,4.71,-0.08,14.39,77.64,1.46,51.04
2,588000,科创50ETF华夏,56.54,0.71,41.17,1.79,0.22,80.71,89.36,8.05,95.63
3,159915,创业板ETF易方达,98.79,7.55,31.26,3.54,-0.56,44.3,55.36,5.83,68.96
4,512880,证券ETF国泰,52.73,56.24,33.24,1.1,-1.17,15.25,9.71,1.3,20.4
5,588200,科创芯片ETF嘉实,58.03,-1.55,43.26,1.18,1.2,122.7,82.39,,
6,510500,中证500ETF南方,107.99,11.41,34.33,7.83,0.19,27.87,72.5,2.48,79.48
7,563360,A500ETF华泰柏瑞,98.62,14.24,33.79,1.3,0.08,16.34,77.09,,
8,515880,通信ETF国泰,98.34,2.07,31.94,0.65,1.25,49.27,93.47,,
9,159516,半导体设备ETF国泰,65.29,11.55,50.16,0.72,2.71,112.39,96.77,,
10,588170,科创半导体ETF华夏,60.18,11.43,49.15,0.98,3.27,41.55,81.0,,
11,512100,中证1000ETF南方,114.8,15.6,22.3,3.05,0.49,31.8,68.46,2.42,47.44
12,512890,红利低波ETF华泰柏瑞,11.6,96.02,66.04,1.17,0.52,7.65,66.79,0.84,55.28
13,159995,芯片ETF华夏,58.48,-2.87,36.47,1.18,1.29,,,,
14,159949,创业板50ETF华安,91.86,6.35,25.86,1.66,-0.89,,,,
15,512170,医疗ETF华宝,80.86,97.53,31.0,0.33,-2.08,27.99,23.99,3.4,10.44
16,512400,有色金属ETF南方,94.37,49.5,8.21,1.92,0.89,16.33,89.67,,
17,510880,红利ETF华泰柏瑞,49.46,102.54,68.31,3.29,1.92,8.41,70.4,0.82,58.56
18,510050,上证50ETF华夏,33.18,64.9,36.14,3.03,0.03,11.56,78.51,1.24,55.92
19,159819,人工智能ETF易方达,82.42,11.22,45.89,1.84,-0.38,51.06,76.36,,
20,159326,电网设备ETF华夏,106.33,7.49,24.07,1.68,-0.53,12.6,84.34,,
21,512480,半导体ETF国联安,62.77,-3.57,38.67,1.05,1.65,91.64,88.56,,
22,515450,红利低波50ETF南方,-4.51,89.69,68.14,1.41,0.14,8.21,72.6,0.84,55.28
23,510210,上证指数ETF富国,108.43,34.4,24.93,0.99,0.61,15.26,72.12,,
24,515180,红利ETF易方达,48.75,103.37,52.82,1.42,1.29,8.27,55.07,0.82,43.68
25,562500,机器人ETF华夏,116.54,12.74,24.38,1.01,-0.79,55.73,65.9,,
26,159530,机器人ETF易方达,118.7,10.33,19.4,1.4,-0.92,,,,
27,159781,科创创业ETF易方达,72.15,-0.16,36.87,1.13,-0.27,44.12,63.12,,
28,510180,上证180ETF华安,94.02,42.58,33.5,4.0,0.25,12.14,69.22,1.23,43.24
29,515050,通信ETF华夏,87.29,0.74,36.36,1.01,0.8,49.08,94.28,,
30,159992,创新药ETF银华,76.78,72.04,64.81,0.85,-1.39,28.73,33.33,,
31,159201,自由现金流ETF华夏,41.63,97.39,13.67,1.17,0.0,,,,
32,512010,医药ETF易方达,73.62,99.01,62.58,0.38,-1.81,23.6,4.75,,
33,159928,消费ETF汇添富,24.47,97.8,31.73,0.67,-0.74,19.96,20.15,3.54,3.04
34,159206,卫星ETF永赢,114.8,17.41,5.36,1.4,1.82,,,,
35,512070,证券保险ETF易方达,18.43,83.39,14.58,0.8,-0.87,9.73,1.94,,
36,159870,化工ETF鹏华,103.08,41.8,20.82,0.82,1.24,22.45,57.77,,
37,517520,黄金股ETF永赢,79.75,96.72,5.53,2.03,1.3,21.76,55.96,,
38,512690,酒ETF鹏华,36.12,95.69,25.37,0.43,-1.6,19.36,17.34,,
39,515220,煤炭ETF国泰,65.09,47.48,36.37,1.24,5.62,18.23,85.75,1.73,93.84
40,513630,港股低波红利ETF摩根,-4.05,81.42,30.65,1.57,-1.19,,,,
41,512760,芯片ETF国泰,57.71,-1.48,39.75,1.13,1.26,91.28,80.13,,
42,159611,电力ETF广发,35.02,30.27,12.74,1.06,-0.84,15.36,67.65,,
43,516650,有色金属ETF华夏,92.71,56.74,4.44,1.87,0.59,19.69,26.19,,
44,512800,银行ETF华宝,0.83,91.95,72.49,0.81,0.5,6.61,67.95,0.66,36.12
45,560860,工业有色ETF万家,90.24,37.69,12.39,1.64,0.12,63.3,35.89,,
46,159852,软件ETF嘉实,103.23,79.07,7.45,0.74,-1.2,59.31,55.83,,
47,159869,游戏ETF华夏,100.03,82.95,3.51,1.14,-1.82,20.19,19.34,,
48,159755,电池ETF广发,90.6,19.99,2.38,0.96,-1.13,25.53,37.4,3.47,49.4
49,563300,中证2000ETF华泰柏瑞,115.36,23.47,24.49,1.38,1.17,38.93,67.15,,
50,159363,创业板人工智能ETF华宝,109.49,14.63,42.29,1.23,0.0,,,,
51,512710,军工龙头ETF富国,102.14,31.86,-8.3,0.62,-0.16,,,,
52,159307,红利低波100ETF博时,5.95,94.6,56.8,1.03,-0.19,8.56,76.51,,
53,159851,金融科技ETF华宝,95.79,63.16,6.28,0.65,-0.61,34.07,15.07,,
54,512660,军工ETF国泰,108.5,27.11,-2.8,1.14,-0.09,46.65,15.58,3.32,58.56
55,516150,稀土ETF嘉实,105.7,15.68,11.74,1.76,0.4,30.15,34.16,,
56,159263,价值ETF易方达,28.23,102.1,48.82,1.15,-0.09,,,,
57,159865,养殖ETF国泰,71.21,96.1,18.03,0.53,-0.19,22.8,53.02,,
58,515980,人工智能ETF华富,85.08,12.28,45.65,1.07,-0.37,54.64,87.78,,
59,512950,央企改革ETF华夏,92.28,28.67,34.16,1.51,0.4,15.65,81.74,,
60,159796,电池ETF汇添富,95.95,16.27,7.22,0.86,-1.38,,,,
61,159967,创业板成长ETF华夏,92.51,3.63,35.8,0.79,0.13,,,,
