排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,7.63,19.03,29.46,37.06,26.58,49.14,4.65,-0.09,14.29,74.9,1.45,48.08
2,588000,科创50ETF华夏,3.1,2.65,37.55,38.23,7.55,56.79,1.74,-1.19,78.51,85.03,7.79,92.29
3,512880,证券ETF国泰,-0.12,12.76,24.54,-1.26,35.51,30.68,1.06,0.09,14.76,8.18,1.26,13.56
4,159915,创业板ETF易方达,3.39,23.71,29.59,30.99,24.59,50.07,3.51,0.34,42.05,47.12,5.75,67.8
5,588200,科创芯片ETF嘉实,4.48,7.67,42.46,38.68,8.08,58.91,1.17,-0.59,121.04,80.45,,
6,159516,半导体设备ETF国泰,14.96,16.85,51.26,54.64,16.18,62.77,0.73,-0.82,114.69,95.98,,
7,563360,A500ETF华泰柏瑞,2.38,23.22,28.7,29.08,28.51,50.09,1.28,0.23,16.26,73.58,,
8,510500,中证500ETF南方,6.76,29.81,35.35,31.02,29.05,47.83,7.86,0.72,27.67,71.69,2.46,78.76
9,515880,通信ETF国泰,28.11,23.33,33.49,47.45,19.99,47.85,0.66,1.23,48.21,90.58,,
10,588170,科创半导体ETF华夏,24.7,17.69,52.21,62.95,16.12,62.23,1.02,-0.2,43.5,82.87,,
11,512890,红利低波ETF华泰柏瑞,112.08,88.28,71.16,84.49,80.54,46.65,1.18,0.43,7.86,71.35,0.86,60.68
12,159995,芯片ETF华夏,3.29,4.12,33.99,37.11,5.7,53.97,1.15,-1.12,,,,
13,512170,医疗ETF华宝,54.28,105.15,51.83,49.77,106.86,20.43,0.36,4.65,29.37,29.76,3.57,15.56
14,512400,有色金属ETF南方,2.03,60.79,5.3,9.38,62.04,3.66,1.88,0.86,15.97,85.99,,
15,159949,创业板50ETF华安,2.36,20.93,23.48,31.03,21.91,46.66,1.64,0.18,,,,
16,510880,红利ETF华泰柏瑞,93.66,111.49,81.98,92.55,105.67,52.15,3.38,0.6,8.71,78.03,0.86,62.2
17,159326,电网设备ETF华夏,1.61,20.53,23.72,22.85,19.52,39.81,1.67,0.72,12.63,85.19,,
18,510050,上证50ETF华夏,3.14,42.42,28.46,21.38,62.41,37.31,2.99,-0.3,11.61,79.39,1.25,57.84
19,512100,中证1000ETF南方,7.08,39.55,24.04,34.16,37.33,32.23,3.07,0.72,31.8,68.31,2.41,46.04
20,159819,人工智能ETF易方达,2.09,9.28,35.29,29.47,19.91,61.04,1.73,-0.52,47.85,60.69,,
21,515450,红利低波50ETF南方,92.5,73.95,68.14,58.19,73.86,66.16,1.41,0.36,8.47,78.68,0.86,60.68
22,512480,半导体ETF国联安,3.46,6.6,37.78,36.0,6.55,56.06,1.04,-0.48,90.7,87.12,,
23,515180,红利ETF易方达,78.67,110.99,56.16,69.29,102.65,39.06,1.43,0.21,8.48,59.44,0.84,48.84
24,159992,创新药ETF银华,62.3,102.8,85.57,53.92,96.57,46.78,0.94,4.24,30.44,43.4,,
25,510180,上证180ETF华安,3.33,42.81,26.42,21.61,53.45,36.29,3.95,-0.05,12.11,68.34,1.23,43.28
26,515050,通信ETF华夏,16.63,21.23,37.37,40.89,19.52,52.09,1.02,0.79,48.13,91.69,,
27,562500,机器人ETF华夏,-5.42,15.12,11.26,26.94,22.43,30.53,0.95,-0.42,52.59,51.83,,
28,159781,科创创业ETF易方达,6.77,7.99,32.88,36.71,11.29,55.73,1.09,-0.64,43.23,61.11,,
29,159530,机器人ETF易方达,-5.79,13.41,8.05,27.29,19.87,21.54,1.32,-1.27,,,,
30,517520,黄金股ETF永赢,65.77,105.78,11.53,41.44,96.04,-6.0,2.17,5.08,21.4,51.62,,
31,159201,自由现金流ETF华夏,49.79,109.37,17.42,44.57,102.27,11.78,1.18,0.77,,,,
32,512010,医药ETF易方达,43.09,99.75,77.69,53.31,101.65,43.6,0.4,1.01,24.3,7.51,,
33,159928,消费ETF汇添富,19.13,89.63,31.73,10.24,95.99,24.44,0.67,0.9,19.83,19.41,3.46,1.96
34,510210,上证指数ETF富国,22.18,56.27,24.93,40.2,55.03,25.12,1.0,0.3,15.26,71.97,,
35,515220,煤炭ETF国泰,70.34,101.49,41.74,80.51,82.28,29.77,1.27,-0.24,18.88,87.55,1.79,97.24
36,512070,证券保险ETF易方达,-2.67,34.07,5.57,5.19,56.49,10.48,0.77,-0.39,9.4,0.92,,
37,159206,卫星ETF永赢,-7.41,26.98,1.05,25.73,33.21,14.25,1.34,-2.26,,,,
38,512690,酒ETF鹏华,-0.44,91.16,25.37,-5.49,102.12,20.54,0.43,1.18,19.23,16.41,,
39,159870,化工ETF鹏华,3.34,49.16,17.57,6.68,46.94,26.76,0.81,0.62,22.19,56.59,,
40,513630,港股低波红利ETF摩根,109.13,84.42,38.61,84.39,75.82,29.03,1.6,0.95,,,,
41,512760,芯片ETF国泰,3.44,4.27,37.1,36.24,6.4,56.85,1.1,-0.81,89.15,75.38,,
42,159611,电力ETF广发,-3.09,32.77,4.0,-6.89,34.28,21.83,1.03,0.1,15.97,70.87,,
43,512800,银行ETF华宝,114.06,84.38,79.03,89.63,75.37,55.3,0.82,0.61,6.79,76.96,0.68,43.16
44,516650,有色金属ETF华夏,9.56,70.47,3.13,10.54,69.32,-0.24,1.85,1.37,19.12,24.93,,
45,159852,软件ETF嘉实,-9.42,60.2,-2.35,-7.38,80.54,-3.49,0.68,0.15,54.57,47.72,,
46,560860,工业有色ETF万家,-6.83,47.19,7.9,8.52,51.65,13.51,1.59,-0.19,60.82,28.07,,
47,159869,游戏ETF华夏,-10.98,79.65,-2.03,-11.23,100.68,-4.78,1.08,0.93,19.28,13.17,,
48,159755,电池ETF广发,-6.25,27.62,-0.19,20.72,32.29,13.31,0.95,-0.53,25.05,36.84,3.44,47.88
49,159307,红利低波100ETF博时,63.23,78.71,56.8,35.53,81.17,50.43,1.03,0.59,8.7,79.48,,
50,512710,军工龙头ETF富国,-9.63,33.06,-12.09,20.05,45.22,-10.35,0.6,-1.15,,,,
51,159363,创业板人工智能ETF华宝,23.8,37.0,43.37,42.14,33.84,55.09,1.24,1.39,,,,
52,516150,稀土ETF嘉实,-5.59,31.98,9.78,19.93,34.32,14.92,1.74,-1.53,30.19,34.23,,
53,563300,中证2000ETF华泰柏瑞,18.19,49.99,28.46,42.65,46.01,31.23,1.41,1.3,39.02,67.03,,
54,159263,价值ETF易方达,69.85,93.79,50.92,54.05,90.66,47.21,1.15,0.09,,,,
55,159865,养殖ETF国泰,47.91,104.49,21.44,37.49,97.2,8.92,0.54,1.88,22.74,52.6,,
56,512660,军工ETF国泰,-6.75,30.75,-7.36,24.66,41.5,-2.15,1.1,-0.99,45.72,13.09,3.24,52.4
57,588220,科创100ETF鹏华,34.03,33.95,45.3,56.62,25.94,50.41,1.82,2.18,,,,
58,512950,央企改革ETF华夏,1.53,35.74,31.05,31.08,41.63,42.73,1.5,-0.33,15.75,82.91,,
59,515980,人工智能ETF华富,1.38,15.24,36.47,29.27,23.64,59.7,1.01,-0.39,51.28,82.1,,
60,159851,金融科技ETF华宝,-10.59,45.36,-2.56,-10.15,60.18,-3.75,0.6,0.67,31.44,5.9,,
61,159796,电池ETF汇添富,4.49,28.7,6.63,42.19,30.66,22.56,0.86,-0.92,,,,
