排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.616,-0.11,1067.25,1067.25,39.06,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(506.65亿)；沪深300ETF华夏(402.08亿)；沪深300ETF嘉实(300.55亿)；沪深300ETF天弘(82.11亿)
2,588000,科创50ETF华夏,1.668,-2.06,871.64,871.64,74.1,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(408.15亿)；科创50ETF工银(106.33亿)；科创50ETF广发(74.13亿)
3,159915,创业板ETF易方达,3.305,-0.75,655.33,655.33,62.27,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(110.66亿)；创业板ETF天弘(63.7亿)
4,512880,证券ETF国泰,1.105,0.64,620.59,620.59,24.87,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(379.99亿)；证券ETF天弘(119.51亿)；券商ETF银华(94.77亿)；证券ETF南方(81.63亿)
5,588200,科创芯片ETF嘉实,1.105,-2.64,475.0,475.0,28.98,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(71.86亿)
6,159516,半导体设备ETF国泰,0.657,-3.1,408.54,408.54,34.64,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(197.98亿)；半导体设备ETF广发(125.27亿)；半导体设备ETF华夏(85.37亿)
7,588170,科创半导体ETF华夏,0.902,-3.53,404.63,404.63,49.39,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(108.11亿)
8,515880,通信ETF国泰,0.639,-1.08,399.68,399.68,25.86,中证全指通信设备指数,指数型-股票,通信,
9,563360,A500ETF华泰柏瑞,1.266,-0.31,395.25,395.25,41.16,中证A500指数,指数型-股票,中证A500,A500ETF南方(331.94亿)；A500ETF易方达(285.57亿)；中证A500ETF国泰(252.58亿)；A500ETF华夏(192.75亿)
10,510500,中证500ETF南方,7.673,-1.39,388.21,388.21,40.95,中证500指数,指数型-股票,中证500,中证500ETF嘉实(84.01亿)；中证500ETF华夏(75.31亿)
11,512890,红利低波ETF华泰柏瑞,1.207,0.58,319.24,319.24,6.88,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(125.3亿)
12,159995,芯片ETF华夏,1.086,-2.6,265.59,265.59,8.46,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(63.19亿)
13,512400,有色金属ETF南方,1.884,-1.52,264.83,264.83,11.82,有色金属,指数型-股票,有色金属,
14,512170,医疗ETF华宝,0.339,0.0,242.89,242.89,3.77,中证医疗指数,指数型-股票,医药,
15,159949,创业板50ETF华安,1.543,-0.52,239.47,239.47,16.02,创业板50指数,指数型-股票,创业板,
16,159819,人工智能ETF易方达,1.705,-1.56,206.6,206.6,3.69,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(81.38亿)
17,515450,红利低波50ETF南方,1.426,0.56,200.55,200.55,1.25,标普中国A股大盘红利低波50指数,指数型-股票,红利,
18,510050,上证50ETF华夏,3.037,0.2,199.25,199.25,16.67,上证50指数,指数型-股票,上证50,
19,512480,半导体ETF国联安,0.976,-2.79,193.07,193.07,16.83,中证全指半导体产品与设备指数,指数型-股票,半导体,
20,510880,红利ETF华泰柏瑞,3.438,0.06,192.29,192.29,3.88,上证红利指数,指数型-股票,红利,
21,159326,电网设备ETF华夏,1.643,-0.48,190.74,190.74,4.11,中证电网设备主题指数,指数型-股票,其他,
22,512100,中证1000ETF南方,3.044,-1.36,186.03,186.03,35.94,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(61.42亿)；中证1000ETF广发(57.69亿)
23,515180,红利ETF易方达,1.453,0.21,183.84,183.84,3.0,中证红利指数,指数型-股票,红利,中证红利ETF招商(108.46亿)
24,510180,上证180ETF华安,3.967,0.15,175.17,175.17,0.9,上证180指数,指数型-股票,上证180,
25,562500,机器人ETF华夏,0.938,-1.68,173.41,173.41,4.42,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(58.86亿)
26,515050,通信ETF华夏,0.987,-1.69,172.3,172.3,8.01,中证5G通信主题指数,指数型-股票,通信,
27,159992,创新药ETF银华,0.845,-0.71,168.72,168.72,7.66,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(111.21亿)
28,159781,科创创业ETF易方达,1.032,-0.96,164.05,164.05,5.01,中证科创创业50指数,指数型-股票,科创板,
29,159530,机器人ETF易方达,1.298,-2.11,163.84,163.84,6.18,国证机器人产业指数,指数型-股票,机器人,
30,159201,自由现金流ETF华夏,1.187,0.85,161.84,161.84,2.35,国证自由现金流指数,指数型-股票,货币市场,
31,159928,消费ETF汇添富,0.687,3.31,158.61,158.61,5.69,中证主要消费指数,指数型-股票,消费,
32,512010,医药ETF易方达,0.38,0.26,152.27,152.27,2.61,沪深300医药卫生指数,指数型-股票,医药,
33,510210,上证指数ETF富国,1.006,-0.2,142.41,142.41,8.18,上证综合指数,指数型-股票,其他,
34,517520,黄金股ETF永赢,2.208,-0.72,139.5,139.5,8.81,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(62.09亿)
35,512690,酒ETF鹏华,0.434,3.09,137.5,137.5,8.94,中证酒指数,指数型-股票,白酒,
36,159870,化工ETF鹏华,0.803,-0.86,136.45,136.45,4.36,细分化工,指数型-股票,化工,
37,512070,证券保险ETF易方达,0.823,0.61,134.57,134.57,7.79,沪深300非银行金融指数,指数型-股票,证券,
38,159206,卫星ETF永赢,1.344,-1.18,127.24,127.24,3.8,国证商用卫星通信产业指数,指数型-股票,通信,
39,513630,港股低波红利ETF摩根,1.596,0.76,120.02,120.02,3.07,标普港股通低波红利指数,指数型-股票,红利,
40,515220,煤炭ETF国泰,1.298,-0.15,116.43,116.43,11.21,中证煤炭指数,指数型-股票,煤炭,
41,512760,芯片ETF国泰,1.036,-2.81,100.4,100.4,3.79,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,512800,银行ETF华宝,0.848,0.95,99.54,99.54,9.6,中证银行指数,指数型-股票,银行,
43,159611,电力ETF广发,1.044,-0.29,97.64,97.64,3.85,中证全指电力公用事业指数,指数型-股票,电力,
44,516650,有色金属ETF华夏,1.843,-1.39,96.64,96.64,1.46,细分有色,指数型-股票,有色金属,
45,159852,软件ETF嘉实,0.684,1.03,94.9,94.9,6.52,中证软件服务指数,指数型-股票,计算机,
46,159869,游戏ETF华夏,1.13,3.01,90.85,90.85,7.92,中证动漫游戏指数,指数型-股票,传媒,
47,560860,工业有色ETF万家,1.597,-1.72,85.44,85.44,2.0,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(66.94亿)
48,512660,军工ETF国泰,1.148,0.7,74.63,74.63,4.12,中证军工指数,指数型-股票,军工,
49,512710,军工龙头ETF富国,0.64,0.63,74.05,74.05,3.98,中证军工龙头指数,指数型-股票,军工,
50,159263,价值ETF易方达,1.167,0.69,73.88,73.88,2.41,国证价值100指数,指数型-股票,价值,
51,159307,红利低波100ETF博时,1.038,0.39,73.48,73.48,0.77,中证红利低波动100指数,指数型-股票,红利,红利低波ETF天弘(57.25亿)
52,159755,电池ETF广发,0.894,-1.22,70.3,70.3,2.89,国证新能源车电池指数,指数型-股票,新能源,
53,159865,养殖ETF国泰,0.568,4.6,69.43,69.43,5.92,中证畜牧养殖指数,指数型-股票,农业,
54,159363,创业板人工智能ETF华宝,1.192,-0.67,69.42,69.42,9.27,创业板人工智能指数,指数型-股票,人工智能,
55,563300,中证2000ETF华泰柏瑞,1.425,-1.38,65.46,65.46,8.33,中证2000指数,指数型-股票,中证2000,
56,159851,金融科技ETF华宝,0.65,2.52,65.07,65.07,5.85,中证金融科技主题指数,指数型-股票,其他,
57,588220,科创100ETF鹏华,1.7,-2.47,64.41,64.41,5.87,上证科创板100指数,指数型-股票,科创板,
58,159259,成长ETF易方达,1.275,-2.75,64.33,64.33,4.55,国证成长100指数,指数型-股票,成长,
59,516150,稀土ETF嘉实,1.674,-1.65,63.78,63.78,1.38,中证稀土产业指数,指数型-股票,有色金属,
60,515980,人工智能ETF华富,0.999,-1.87,63.05,63.05,2.73,中证人工智能产业指数,指数型-股票,人工智能,
61,512950,央企改革ETF华夏,1.493,-0.13,60.39,60.39,0.14,中证央企结构调整指数,指数型-股票,央企国企,
62,561980,半导体设备ETF招商,,,,,,,,,
63,159967,创业板成长ETF华夏,,,,,,,,,
