排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.579,-0.82,1061.66,1061.66,44.09,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(506.28亿)；沪深300ETF华夏(399.51亿)；沪深300ETF嘉实(298.8亿)；沪深300ETF天弘(81.27亿)
2,588000,科创50ETF华夏,1.639,-1.21,889.09,889.09,80.83,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(411.26亿)；科创50ETF工银(106.2亿)；科创50ETF广发(76.15亿)
3,159915,创业板ETF易方达,3.341,-0.51,646.7,646.7,63.2,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(110.91亿)；创业板ETF天弘(64.33亿)
4,512880,证券ETF国泰,1.058,-3.02,595.18,595.18,23.39,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(368.68亿)；证券ETF天弘(115.8亿)；券商ETF银华(90.96亿)；证券ETF南方(79.59亿)
5,588200,科创芯片ETF嘉实,1.089,-1.54,471.75,471.75,23.6,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(71.25亿)
6,515880,通信ETF国泰,0.675,0.6,421.75,421.75,39.35,中证全指通信设备指数,指数型-股票,通信,
7,510500,中证500ETF南方,7.611,-1.69,409.48,409.48,43.18,中证500指数,指数型-股票,中证500,中证500ETF嘉实(85.35亿)；中证500ETF华夏(76.87亿)
8,159516,半导体设备ETF国泰,0.653,-1.95,401.16,401.16,27.67,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(194.12亿)；半导体设备ETF广发(121.9亿)；半导体设备ETF华夏(83.44亿)
9,588170,科创半导体ETF华夏,0.895,-1.86,391.07,391.07,40.11,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(104.68亿)
10,563360,A500ETF华泰柏瑞,1.254,-1.1,385.22,385.22,47.6,中证A500指数,指数型-股票,中证A500,A500ETF南方(331.83亿)；A500ETF易方达(274.8亿)；中证A500ETF国泰(249.9亿)；A500ETF华夏(190.87亿)
11,512890,红利低波ETF华泰柏瑞,1.203,-0.91,316.93,316.93,5.89,中证红利低波动指数,指数型-股票,红利,XD红利低波ETF易方达(120.63亿)
12,159995,芯片ETF华夏,1.077,-1.64,266.14,266.14,5.6,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(63.16亿)
13,512400,有色金属ETF南方,1.754,-4.05,253.51,253.51,11.42,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.566,-0.89,242.18,242.18,17.07,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.327,-1.8,234.52,234.52,4.31,中证医疗指数,指数型-股票,医药,
16,159819,人工智能ETF易方达,1.697,-0.12,206.1,206.1,3.7,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(80.71亿)
17,510050,上证50ETF华夏,2.981,-1.16,204.11,204.11,19.84,上证50指数,指数型-股票,上证50,
18,515450,红利低波50ETF南方,1.401,-0.43,200.19,200.19,1.32,标普中国A股大盘红利低波50指数,指数型-股票,红利,
19,512480,半导体ETF国联安,0.96,-1.64,195.51,195.51,10.74,中证全指半导体产品与设备指数,指数型-股票,半导体,
20,510880,红利ETF华泰柏瑞,3.419,-1.55,190.05,190.05,4.65,上证红利指数,指数型-股票,红利,
21,159326,电网设备ETF华夏,1.639,-0.36,189.39,189.39,4.36,中证电网设备主题指数,指数型-股票,其他,
22,512100,中证1000ETF南方,3.014,-2.21,188.83,188.83,34.7,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(71.62亿)；中证1000ETF广发(57.57亿)
23,515050,通信ETF华夏,1.047,0.29,183.53,183.53,11.33,中证5G通信主题指数,指数型-股票,通信,
24,515180,红利ETF易方达,1.435,-1.71,181.67,181.67,4.2,中证红利指数,指数型-股票,红利,中证红利ETF招商(106.66亿)
25,510180,上证180ETF华安,3.9,-1.29,172.36,172.36,0.7,上证180指数,指数型-股票,上证180,
26,562500,机器人ETF华夏,0.91,-1.73,167.78,167.78,4.71,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(57.11亿)
27,159781,科创创业ETF易方达,1.033,-0.39,163.43,163.43,3.6,中证科创创业50指数,指数型-股票,科创板,
28,159992,创新药ETF银华,0.803,-2.19,163.11,163.11,8.73,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(109.31亿)
29,159201,自由现金流ETF华夏,1.178,-1.42,158.84,158.84,2.55,国证自由现金流指数,指数型-股票,货币市场,
30,159530,机器人ETF易方达,1.261,-1.94,158.31,158.31,5.65,国证机器人产业指数,指数型-股票,机器人,
31,159928,消费ETF汇添富,0.658,-1.35,152.02,152.02,2.51,中证主要消费指数,指数型-股票,消费,
32,512010,医药ETF易方达,0.365,-1.08,146.42,146.42,3.31,沪深300医药卫生指数,指数型-股票,医药,
33,510210,上证指数ETF富国,0.997,-1.09,138.74,138.74,14.63,上证综合指数,指数型-股票,其他,
34,517520,黄金股ETF永赢,2.116,-3.07,133.73,133.73,10.1,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(59.56亿)
35,159870,化工ETF鹏华,0.773,-3.25,132.4,132.4,4.9,细分化工,指数型-股票,化工,
36,512070,证券保险ETF易方达,0.788,-2.35,132.17,132.17,4.67,沪深300非银行金融指数,指数型-股票,证券,
37,512690,酒ETF鹏华,0.412,-1.44,131.56,131.56,4.25,中证酒指数,指数型-股票,白酒,
38,159206,卫星ETF永赢,1.327,-1.26,124.79,124.79,3.01,国证商用卫星通信产业指数,指数型-股票,通信,
39,513630,港股低波红利ETF摩根,1.578,-1.0,118.37,118.37,1.8,标普港股通低波红利指数,指数型-股票,红利,
40,515220,煤炭ETF国泰,1.292,-2.05,106.02,106.02,8.06,中证煤炭指数,指数型-股票,煤炭,
41,512760,芯片ETF国泰,1.022,-1.35,100.33,100.33,5.93,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,512800,银行ETF华宝,0.847,-0.7,97.34,97.34,9.06,中证银行指数,指数型-股票,银行,
