排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.523,-0.64,1058.32,1058.32,31.65,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(498.28亿)；沪深300ETF华夏(393.01亿)；沪深300ETF嘉实(295.4亿)；沪深300ETF天弘(80.22亿)
2,588000,科创50ETF华夏,1.638,1.55,918.47,918.47,60.44,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(421.29亿)；科创50ETF工银(108.36亿)；科创50ETF广发(80.17亿)
3,159915,创业板ETF易方达,3.268,-1.09,643.22,643.22,50.31,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(111.73亿)；创业板ETF天弘(63.43亿)
4,512880,证券ETF国泰,1.047,-0.48,593.46,593.46,10.13,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(365.96亿)；证券ETF天弘(115.87亿)；券商ETF银华(90.3亿)；证券ETF南方(77.15亿)
5,588200,科创芯片ETF嘉实,1.092,1.96,473.69,473.69,24.86,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(71.35亿)
6,515880,通信ETF国泰,0.653,-0.61,418.15,418.15,24.76,中证全指通信设备指数,指数型-股票,通信,
7,159516,半导体设备ETF国泰,0.669,3.24,409.52,409.52,29.55,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(198.73亿)；半导体设备ETF广发(123.83亿)；半导体设备ETF华夏(85.23亿)
8,588170,科创半导体ETF华夏,0.922,3.71,401.71,401.71,49.85,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(108.08亿)
9,510500,中证500ETF南方,7.588,-0.13,397.02,397.02,31.74,中证500指数,指数型-股票,中证500,中证500ETF嘉实(81.18亿)；中证500ETF华夏(75.49亿)
10,563360,A500ETF华泰柏瑞,1.239,-0.64,381.57,381.57,40.05,中证A500指数,指数型-股票,中证A500,A500ETF南方(330.17亿)；A500ETF易方达(268.93亿)；中证A500ETF国泰(250.41亿)；A500ETF华夏(189.49亿)
11,512890,红利低波ETF华泰柏瑞,1.196,-0.99,314.51,314.51,6.5,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(119.9亿)
12,159995,芯片ETF华夏,1.077,1.99,266.89,266.89,6.08,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(63.64亿)
13,512400,有色金属ETF南方,1.725,-0.81,251.42,251.42,6.39,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.519,-1.49,239.25,239.25,12.88,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.332,-0.6,239.14,239.14,1.86,中证医疗指数,指数型-股票,医药,
16,510050,上证50ETF华夏,2.958,-0.6,207.99,207.99,12.6,上证50指数,指数型-股票,上证50,
17,159819,人工智能ETF易方达,1.666,0.12,203.07,203.07,2.5,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(79.7亿)
18,515450,红利低波50ETF南方,1.404,-0.5,201.13,201.13,1.11,标普中国A股大盘红利低波50指数,指数型-股票,红利,
19,512480,半导体ETF国联安,0.964,1.8,198.06,198.06,10.28,中证全指半导体产品与设备指数,指数型-股票,半导体,
20,510880,红利ETF华泰柏瑞,3.382,-0.65,189.4,189.4,3.54,上证红利指数,指数型-股票,红利,
21,159326,电网设备ETF华夏,1.622,-0.37,186.79,186.79,3.12,中证电网设备主题指数,指数型-股票,其他,
22,512100,中证1000ETF南方,3.024,-0.3,184.08,184.08,15.33,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(66.6亿)；中证1000ETF广发(57.91亿)
23,515180,红利ETF易方达,1.422,-0.7,180.63,180.63,2.67,中证红利指数,指数型-股票,红利,中证红利ETF招商(107.86亿)
24,515050,通信ETF华夏,1.011,-0.49,179.3,179.3,6.52,中证5G通信主题指数,指数型-股票,通信,
25,510180,上证180ETF华安,3.874,-0.31,171.33,171.33,0.67,上证180指数,指数型-股票,上证180,
26,562500,机器人ETF华夏,0.906,-0.88,168.2,168.2,2.12,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(57.37亿)
27,159992,创新药ETF银华,0.822,-0.96,162.1,162.1,4.27,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(110.46亿)
28,159781,科创创业ETF易方达,1.012,-0.2,161.17,161.17,2.62,中证科创创业50指数,指数型-股票,科创板,
29,159201,自由现金流ETF华夏,1.169,-0.85,158.94,158.94,2.86,国证自由现金流指数,指数型-股票,货币市场,
30,159530,机器人ETF易方达,1.258,-1.02,157.74,157.74,2.82,国证机器人产业指数,指数型-股票,机器人,
31,159928,消费ETF汇添富,0.654,-0.46,150.87,150.87,1.74,中证主要消费指数,指数型-股票,消费,
32,512010,医药ETF易方达,0.369,-0.81,148.41,148.41,1.35,沪深300医药卫生指数,指数型-股票,医药,
33,510210,上证指数ETF富国,0.991,-0.4,147.93,147.93,6.51,上证综合指数,指数型-股票,其他,
34,517520,黄金股ETF永赢,2.056,-2.19,132.84,132.84,3.83,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(57.97亿)
35,512690,酒ETF鹏华,0.41,-0.49,131.7,131.7,2.06,中证酒指数,指数型-股票,白酒,
36,512070,证券保险ETF易方达,0.779,-0.76,130.09,130.09,2.57,沪深300非银行金融指数,指数型-股票,证券,
37,159870,化工ETF鹏华,0.768,-0.39,129.4,129.4,4.05,细分化工,指数型-股票,化工,
38,159206,卫星ETF永赢,1.325,0.0,123.66,123.66,1.72,国证商用卫星通信产业指数,指数型-股票,通信,
39,513630,港股低波红利ETF摩根,1.557,-1.39,116.64,116.64,3.93,标普港股通低波红利指数,指数型-股票,红利,
40,515220,煤炭ETF国泰,1.27,-0.24,105.28,105.28,5.68,中证煤炭指数,指数型-股票,煤炭,
41,512760,芯片ETF国泰,1.024,1.89,103.89,103.89,4.0,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
