排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.726,-0.06,1174.94,1174.94,32.38,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(528.81亿)；沪深300ETF华夏(429.7亿)；沪深300ETF嘉实(312.65亿)；沪深300ETF天弘(88.71亿)
2,588000,科创50ETF华夏,1.814,0.11,899.28,899.28,57.0,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(418.15亿)；科创50ETF工银(110.15亿)；科创50ETF广发(78.3亿)
3,159915,创业板ETF易方达,3.645,1.14,677.04,677.04,47.14,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(117.4亿)；创业板ETF天弘(65.2亿)
4,512880,证券ETF国泰,1.087,-1.27,630.85,630.85,24.61,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(391.47亿)；证券ETF天弘(119.33亿)；券商ETF银华(97.79亿)；证券ETF南方(80.81亿)
5,588200,科创芯片ETF嘉实,1.212,0.66,518.49,518.49,33.42,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(74.89亿)
6,563360,A500ETF华泰柏瑞,1.308,0.08,435.12,435.12,45.61,中证A500指数,指数型-股票,中证A500,A500ETF南方(355.22亿)；A500ETF易方达(288.18亿)；中证A500ETF国泰(278.88亿)；A500ETF华夏(211.04亿)
7,510500,中证500ETF南方,7.998,0.23,429.19,429.19,20.32,中证500指数,指数型-股票,中证500,中证500ETF嘉实(91.16亿)；中证500ETF华夏(84.96亿)
8,515880,通信ETF国泰,0.69,3.6,425.7,425.7,35.2,中证全指通信设备指数,指数型-股票,通信,
9,159516,半导体设备ETF国泰,0.742,0.95,416.86,416.86,32.35,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(200.16亿)；半导体设备ETF广发(123.41亿)；半导体设备ETF华夏(84.72亿)
10,588170,科创半导体ETF华夏,1.021,1.09,391.73,391.73,54.87,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(108.52亿)
11,512890,红利低波ETF华泰柏瑞,1.155,-0.17,318.18,318.18,5.55,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(122.67亿)
12,159995,芯片ETF华夏,1.203,0.92,280.49,280.49,6.2,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(68.44亿)
13,159949,创业板50ETF华安,1.712,1.3,267.1,267.1,13.55,创业板50指数,指数型-股票,创业板,
14,512170,医疗ETF华宝,0.351,-1.13,262.03,262.03,5.94,中证医疗指数,指数型-股票,医药,
15,512100,中证1000ETF南方,3.145,0.54,252.52,252.52,28.93,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(103.18亿)；中证1000ETF广发(67.7亿)
16,512400,有色金属ETF南方,1.89,1.12,250.75,250.75,9.14,有色金属,指数型-股票,有色金属,
17,159326,电网设备ETF华夏,1.714,1.3,217.58,217.58,7.11,中证电网设备主题指数,指数型-股票,其他,
18,159819,人工智能ETF易方达,1.848,1.09,217.13,217.13,4.38,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(85.27亿)
19,510880,红利ETF华泰柏瑞,3.296,0.7,207.42,207.42,4.43,上证红利指数,指数型-股票,红利,
20,510050,上证50ETF华夏,3.021,-0.53,204.78,204.78,11.17,上证50指数,指数型-股票,上证50,
21,512480,半导体ETF国联安,1.077,0.84,203.1,203.1,11.98,中证全指半导体产品与设备指数,指数型-股票,半导体,
22,515450,红利低波50ETF南方,1.395,-0.36,194.81,194.81,1.1,标普中国A股大盘红利低波50指数,指数型-股票,红利,
23,562500,机器人ETF华夏,1.001,0.2,186.2,186.2,5.25,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(63.41亿)
24,515050,通信ETF华夏,1.074,2.78,185.54,185.54,9.71,中证5G通信主题指数,指数型-股票,通信,
25,159530,机器人ETF易方达,1.398,0.07,184.98,184.98,7.43,国证机器人产业指数,指数型-股票,机器人,
26,159992,创新药ETF银华,0.918,-1.18,184.46,184.46,13.93,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(124.55亿)
27,159781,科创创业ETF易方达,1.149,1.14,180.2,180.2,3.18,中证科创创业50指数,指数型-股票,科创板,科创创业50ETF华夏(61.18亿)
28,515180,红利ETF易方达,1.408,0.21,176.76,176.76,3.11,中证红利指数,指数型-股票,红利,中证红利ETF招商(115.2亿)
29,510180,上证180ETF华安,3.993,-0.27,176.33,176.33,0.59,上证180指数,指数型-股票,上证180,
30,510210,上证指数ETF富国,1.003,-0.1,173.01,173.01,6.38,上证综合指数,指数型-股票,其他,
31,512010,医药ETF易方达,0.395,-1.5,165.27,165.27,5.67,沪深300医药卫生指数,指数型-股票,医药,
32,159201,自由现金流ETF华夏,1.17,-0.17,164.94,164.94,1.84,国证自由现金流指数,指数型-股票,货币市场,
33,517520,黄金股ETF永赢,2.001,1.01,164.64,164.64,9.26,中证沪深港黄金产业股票指数,指数型-股票,黄金,
34,159928,消费ETF汇添富,0.673,-1.61,159.1,159.1,3.33,中证主要消费指数,指数型-股票,消费,
35,159206,卫星ETF永赢,1.437,0.98,156.73,156.73,4.77,国证商用卫星通信产业指数,指数型-股票,通信,
36,159870,化工ETF鹏华,0.802,0.12,147.02,147.02,2.27,细分化工,指数型-股票,化工,
37,512690,酒ETF鹏华,0.441,-1.78,146.89,146.89,5.78,中证酒指数,指数型-股票,白酒,
38,512070,证券保险ETF易方达,0.782,-1.51,145.6,145.6,4.67,沪深300非银行金融指数,指数型-股票,证券,
39,515220,煤炭ETF国泰,1.26,1.61,140.57,140.57,7.8,中证煤炭指数,指数型-股票,煤炭,
40,513630,港股低波红利ETF摩根,1.574,0.45,117.9,117.9,2.64,标普港股通低波红利指数,指数型-股票,红利,
41,512760,芯片ETF国泰,1.146,0.53,108.5,108.5,4.03,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,159611,电力ETF广发,1.048,-1.87,104.09,104.09,5.56,中证全指电力公用事业指数,指数型-股票,电力,
43,512800,银行ETF华宝,0.797,-0.75,99.25,99.25,7.36,中证银行指数,指数型-股票,银行,
44,516650,有色金属ETF华夏,1.841,0.99,97.67,97.67,2.5,细分有色,指数型-股票,有色金属,
45,560860,工业有色ETF万家,1.628,1.62,96.01,96.01,2.8,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(67.93亿)
46,159869,游戏ETF华夏,1.147,2.05,93.57,93.57,7.34,中证动漫游戏指数,指数型-股票,传媒,
47,159852,软件ETF嘉实,0.712,0.28,91.96,91.96,7.38,中证软件服务指数,指数型-股票,计算机,
48,159755,电池ETF广发,0.98,0.51,88.57,88.57,2.91,国证新能源车电池指数,指数型-股票,新能源,
49,563300,中证2000ETF华泰柏瑞,1.437,0.98,80.81,80.81,9.87,中证2000指数,指数型-股票,中证2000,
50,159363,创业板人工智能ETF华宝,1.289,3.04,74.48,74.48,13.04,创业板人工智能指数,指数型-股票,人工智能,
51,512710,军工龙头ETF富国,0.629,0.8,73.87,73.87,2.13,中证军工龙头指数,指数型-股票,军工,
52,159307,红利低波100ETF博时,1.023,-0.49,71.67,71.67,0.77,中证红利低波动100指数,指数型-股票,红利,
53,516150,稀土ETF嘉实,1.812,2.78,69.64,69.64,2.77,中证稀土产业指数,指数型-股票,有色金属,
54,512660,军工ETF国泰,1.152,0.35,66.87,66.87,2.03,中证军工指数,指数型-股票,军工,
55,159263,价值ETF易方达,1.133,-0.61,65.17,65.17,2.06,国证价值100指数,指数型-股票,价值,
56,159851,金融科技ETF华宝,0.627,-0.79,64.99,64.99,3.0,中证金融科技主题指数,指数型-股票,其他,
57,159865,养殖ETF国泰,0.533,-1.48,63.33,63.33,1.82,中证畜牧养殖指数,指数型-股票,农业,
58,515980,人工智能ETF华富,1.08,1.31,63.33,63.33,1.94,中证人工智能产业指数,指数型-股票,人工智能,
59,512950,央企改革ETF华夏,1.515,0.46,61.34,61.34,0.11,中证央企结构调整指数,指数型-股票,央企国企,
60,159967,创业板成长ETF华夏,0.834,1.96,60.97,60.97,6.51,创业板动量成长指数,指数型-股票,成长,
61,159796,电池ETF汇添富,0.889,0.45,60.92,60.92,1.94,中证电池主题指数,指数型-股票,新能源,
62,588220,科创100ETF鹏华,1.837,1.83,57.9,57.9,4.55,上证科创板100指数,指数型-股票,科创板,
