排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.617,-0.43,1091.87,1091.87,20.26,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(514.31亿)；沪深300ETF华夏(406.28亿)；沪深300ETF嘉实(303.19亿)；沪深300ETF天弘(82.03亿)
2,588000,科创50ETF华夏,1.659,-0.72,888.14,888.14,36.75,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(408.63亿)；科创50ETF工银(105.57亿)；科创50ETF广发(75.34亿)
3,159915,创业板ETF易方达,3.358,-0.44,647.81,647.81,37.31,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(113.34亿)；创业板ETF天弘(64.49亿)
4,512880,证券ETF国泰,1.091,0.55,610.53,610.53,16.01,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(375.83亿)；证券ETF天弘(118.03亿)；券商ETF银华(93.47亿)；证券ETF南方(82.0亿)
5,588200,科创芯片ETF嘉实,1.106,-0.72,476.68,476.68,14.85,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(72.76亿)
6,510500,中证500ETF南方,7.742,-0.55,428.24,428.24,20.36,中证500指数,指数型-股票,中证500,中证500ETF嘉实(87.79亿)；中证500ETF华夏(78.58亿)
7,515880,通信ETF国泰,0.671,-0.89,410.77,410.77,21.63,中证全指通信设备指数,指数型-股票,通信,
8,159516,半导体设备ETF国泰,0.666,0.0,410.58,410.58,15.05,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(199.72亿)；半导体设备ETF广发(125.87亿)；半导体设备ETF华夏(85.41亿)
9,588170,科创半导体ETF华夏,0.912,-0.11,402.44,402.44,24.5,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(108.36亿)
10,563360,A500ETF华泰柏瑞,1.268,-0.47,392.37,392.37,39.28,中证A500指数,指数型-股票,中证A500,A500ETF南方(333.63亿)；A500ETF易方达(287.3亿)；中证A500ETF国泰(254.8亿)；A500ETF华夏(193.6亿)
11,512890,红利低波ETF华泰柏瑞,1.214,0.25,319.9,319.9,6.66,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(124.81亿)
12,159995,芯片ETF华夏,1.095,-0.45,270.04,270.04,3.26,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(64.4亿)
13,512400,有色金属ETF南方,1.828,-1.35,262.33,262.33,6.32,有色金属,指数型-股票,有色金属,
14,159949,创业板50ETF华安,1.58,0.06,243.14,243.14,12.76,创业板50指数,指数型-股票,创业板,
15,512170,医疗ETF华宝,0.333,-1.19,238.96,238.96,3.31,中证医疗指数,指数型-股票,医药,
16,510050,上证50ETF华夏,3.016,-0.17,211.69,211.69,10.5,上证50指数,指数型-股票,上证50,
17,159819,人工智能ETF易方达,1.699,-1.22,206.21,206.21,1.95,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(81.12亿)
18,512100,中证1000ETF南方,3.082,-0.61,202.65,202.65,16.71,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(79.03亿)；中证1000ETF广发(59.91亿)
19,515450,红利低波50ETF南方,1.407,0.14,198.43,198.43,1.25,标普中国A股大盘红利低波50指数,指数型-股票,红利,
20,512480,半导体ETF国联安,0.976,-0.71,197.21,197.21,7.42,中证全指半导体产品与设备指数,指数型-股票,半导体,
21,510880,红利ETF华泰柏瑞,3.473,-0.71,193.52,193.52,3.04,上证红利指数,指数型-股票,红利,
22,159326,电网设备ETF华夏,1.645,-1.85,190.22,190.22,3.49,中证电网设备主题指数,指数型-股票,其他,
23,515180,红利ETF易方达,1.46,-0.75,184.96,184.96,3.06,中证红利指数,指数型-股票,红利,中证红利ETF招商(109.76亿)
24,515050,通信ETF华夏,1.044,-0.76,180.27,180.27,6.25,中证5G通信主题指数,指数型-股票,通信,
25,510180,上证180ETF华安,3.951,-0.33,174.68,174.68,0.51,上证180指数,指数型-股票,上证180,
26,562500,机器人ETF华夏,0.926,-1.7,170.46,170.46,2.89,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(58.0亿)
27,159992,创新药ETF银华,0.821,-1.91,165.88,165.88,7.98,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(109.87亿)
28,159781,科创创业ETF易方达,1.037,-0.77,165.18,165.18,1.84,中证科创创业50指数,指数型-股票,科创板,
29,159201,自由现金流ETF华夏,1.195,-0.42,162.11,162.11,3.08,国证自由现金流指数,指数型-股票,货币市场,
30,159530,机器人ETF易方达,1.286,-1.76,161.63,161.63,3.78,国证机器人产业指数,指数型-股票,机器人,
31,159928,消费ETF汇添富,0.667,-1.77,154.11,154.11,3.16,中证主要消费指数,指数型-股票,消费,
32,512010,医药ETF易方达,0.369,-1.34,147.91,147.91,3.1,沪深300医药卫生指数,指数型-股票,医药,
33,510210,上证指数ETF富国,1.008,-0.4,144.63,144.63,3.56,上证综合指数,指数型-股票,其他,
34,517520,黄金股ETF永赢,2.183,-1.4,139.3,139.3,3.52,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(61.6亿)
35,159870,化工ETF鹏华,0.799,-2.08,135.6,135.6,2.7,细分化工,指数型-股票,化工,
36,512070,证券保险ETF易方达,0.807,0.62,134.21,134.21,3.48,沪深300非银行金融指数,指数型-股票,证券,
37,512690,酒ETF鹏华,0.418,-1.88,132.65,132.65,4.1,中证酒指数,指数型-股票,白酒,
38,159206,卫星ETF永赢,1.344,-0.37,126.75,126.75,2.75,国证商用卫星通信产业指数,指数型-股票,通信,
39,513630,港股低波红利ETF摩根,1.594,-0.56,119.75,119.75,1.22,标普港股通低波红利指数,指数型-股票,红利,
40,515220,煤炭ETF国泰,1.319,-1.64,111.0,111.0,8.02,中证煤炭指数,指数型-股票,煤炭,
41,512760,芯片ETF国泰,1.036,-0.67,100.96,100.96,1.84,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,512800,银行ETF华宝,0.853,1.31,99.15,99.15,10.27,中证银行指数,指数型-股票,银行,
43,159611,电力ETF广发,1.062,0.76,97.87,97.87,3.93,中证全指电力公用事业指数,指数型-股票,电力,
44,516650,有色金属ETF华夏,1.865,-1.17,97.72,97.72,1.15,细分有色,指数型-股票,有色金属,
45,159852,软件ETF嘉实,0.658,-1.05,92.24,92.24,2.38,中证软件服务指数,指数型-股票,计算机,
46,560860,工业有色ETF万家,1.629,-1.27,87.5,87.5,1.53,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(68.25亿)
47,159869,游戏ETF华夏,1.113,-0.36,85.32,85.32,3.71,中证动漫游戏指数,指数型-股票,传媒,
48,512660,军工ETF国泰,1.18,0.0,76.65,76.65,4.16,中证军工指数,指数型-股票,军工,
49,159263,价值ETF易方达,1.166,-0.34,74.51,74.51,4.77,国证价值100指数,指数型-股票,价值,
50,512710,军工龙头ETF富国,0.651,-0.61,73.66,73.66,2.75,中证军工龙头指数,指数型-股票,军工,
51,159307,红利低波100ETF博时,1.033,0.1,73.04,73.04,1.06,中证红利低波动100指数,指数型-股票,红利,红利低波ETF天弘(56.84亿)
52,159363,创业板人工智能ETF华宝,1.221,-0.49,72.43,72.43,6.31,创业板人工智能指数,指数型-股票,人工智能,
