排名,代码,名称,日线J,周线J,月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
1,510300,沪深300ETF华泰柏瑞,31.26,6.9,48.8,4.65,0.98,14.36,76.95,1.47,52.84
2,588000,科创50ETF华夏,13.02,0.14,56.93,1.73,3.65,77.94,84.66,7.75,92.29
3,159915,创业板ETF易方达,28.26,-7.0,50.17,3.37,3.06,42.16,47.56,5.55,63.68
4,512880,证券ETF国泰,51.21,61.14,30.68,1.11,0.09,15.37,10.28,1.31,22.4
5,588200,科创芯片ETF嘉实,11.9,-4.19,59.3,1.12,3.99,116.29,79.49,,
6,510500,中证500ETF南方,37.58,-1.54,47.83,7.5,2.24,26.78,68.47,2.38,76.88
7,563360,A500ETF华泰柏瑞,32.34,2.17,50.09,1.27,1.44,16.23,72.49,,
8,515880,通信ETF国泰,15.7,-13.72,47.57,0.58,4.5,43.72,87.94,,
9,159516,半导体设备ETF国泰,24.48,9.98,62.77,0.67,3.08,104.39,95.19,,
10,588170,科创半导体ETF华夏,32.85,12.01,62.23,0.92,2.45,39.21,76.93,,
11,512890,红利低波ETF华泰柏瑞,96.24,106.88,44.98,1.2,-0.58,7.97,72.88,0.88,61.68
12,512100,中证1000ETF南方,57.84,-3.45,31.88,2.86,2.22,29.95,64.2,2.28,35.52
13,159949,创业板50ETF华安,26.4,-7.98,46.66,1.58,3.06,,,,
14,159995,芯片ETF华夏,12.5,-6.06,54.13,1.12,3.52,,,,
15,512170,医疗ETF华宝,79.36,87.99,20.43,0.33,1.54,27.65,22.24,3.37,9.56
16,510880,红利ETF华泰柏瑞,95.01,90.57,51.54,3.3,-0.36,8.74,78.81,0.86,61.92
17,512400,有色金属ETF南方,73.87,24.59,3.51,1.79,2.46,16.46,90.86,,
18,510050,上证50ETF华夏,31.28,63.86,36.74,3.03,0.13,11.78,84.02,1.27,65.12
19,159819,人工智能ETF易方达,18.15,0.62,61.04,1.76,5.69,48.82,64.44,,
20,515450,红利低波50ETF南方,93.79,103.2,67.04,1.46,-0.61,8.57,79.8,0.88,61.68
21,512480,半导体ETF国联安,12.12,-7.49,55.89,0.99,3.34,86.58,82.01,,
22,515180,红利ETF易方达,97.63,90.32,38.39,1.43,0.0,8.57,60.93,0.85,50.4
23,159326,电网设备ETF华夏,56.35,-4.61,39.81,1.59,1.8,12.9,92.43,,
24,510210,上证指数ETF富国,78.26,13.06,28.39,0.97,1.04,15.05,70.51,,
25,562500,机器人ETF华夏,58.05,-4.93,30.53,0.96,5.87,52.34,50.67,,
26,159201,自由现金流ETF华夏,98.07,79.26,11.78,1.19,0.0,,,,
27,510180,上证180ETF华安,47.73,30.57,36.85,3.96,0.92,12.21,70.52,1.24,47.84
28,159530,机器人ETF易方达,62.58,-5.32,21.54,1.32,6.37,,,,
29,515050,通信ETF华夏,15.18,-12.75,52.09,0.92,4.43,44.03,86.95,,
30,512010,医药ETF易方达,71.65,97.17,45.87,0.38,1.06,23.77,5.32,,
31,159992,创新药ETF银华,10.87,70.9,46.78,0.84,1.57,28.26,31.88,,
32,159781,科创创业ETF易方达,18.06,-8.56,55.73,1.07,3.17,42.39,59.93,,
33,159928,消费ETF汇添富,100.31,103.82,25.32,0.7,0.14,20.66,23.97,3.67,6.36
34,512070,证券保险ETF易方达,57.92,92.25,9.58,0.81,-0.37,9.91,2.32,,
35,512690,酒ETF鹏华,92.77,92.47,19.55,0.45,-0.44,20.09,22.37,,
36,515220,煤炭ETF国泰,46.53,30.38,29.95,1.2,-0.08,18.23,85.73,1.73,93.28
37,159870,化工ETF鹏华,89.22,20.16,26.76,0.78,-0.13,21.44,52.3,,
38,159206,卫星ETF永赢,41.03,1.47,14.25,1.25,3.82,,,,
39,513630,港股低波红利ETF摩根,65.56,85.93,30.35,1.62,-0.98,,,,
40,517520,黄金股ETF永赢,83.78,82.11,-6.0,1.89,3.05,21.82,56.47,,
41,512800,银行ETF华宝,102.96,105.75,57.69,0.84,0.0,6.89,80.07,0.69,44.04
42,159611,电力ETF广发,41.49,20.1,21.83,1.07,0.0,15.63,69.11,,
43,512760,芯片ETF国泰,11.61,-3.77,56.51,1.07,3.08,87.07,72.03,,
44,516650,有色金属ETF华夏,78.14,29.83,-0.24,1.75,2.51,18.47,23.65,,
45,159869,游戏ETF华夏,93.8,51.71,-4.78,1.11,4.4,19.82,17.79,,
46,159755,电池ETF广发,98.15,9.83,13.31,0.94,0.53,25.56,37.4,3.48,49.52
47,560860,工业有色ETF万家,65.15,15.22,13.51,1.54,2.88,61.38,30.47,,
48,159852,软件ETF嘉实,81.6,33.76,-3.49,0.71,6.27,57.44,53.95,,
49,159307,红利低波100ETF博时,97.11,104.8,48.95,1.06,-0.19,8.9,85.34,,
50,512710,军工龙头ETF富国,87.48,18.19,-9.4,0.6,1.0,,,,
51,159363,创业板人工智能ETF华宝,29.05,-3.96,55.48,1.13,7.93,,,,
52,159263,价值ETF易方达,93.95,104.52,47.21,1.17,-0.68,,,,
53,159851,金融科技ETF华宝,100.76,32.91,-3.93,0.63,3.62,33.48,13.61,,
54,512660,军工ETF国泰,87.59,12.29,-2.15,1.09,1.86,45.08,11.9,3.21,50.44
55,159865,养殖ETF国泰,88.38,82.59,8.92,0.54,0.75,23.22,54.65,,
56,515980,人工智能ETF华富,17.16,0.7,59.98,1.01,6.54,52.05,83.97,,
57,561980,半导体设备ETF招商,13.84,17.0,65.35,0.67,3.08,129.11,94.57,,
58,159967,创业板成长ETF华夏,23.6,-9.74,53.08,0.73,3.4,,,,
59,516150,稀土ETF嘉实,84.77,-1.04,14.92,1.63,2.19,27.88,23.92,,
60,512950,央企改革ETF华夏,62.55,18.84,42.73,1.49,1.22,15.65,81.72,,
61,563300,中证2000ETF华泰柏瑞,68.11,2.68,31.23,1.28,3.48,36.08,55.26,,
