排名,代码,名称,最新价,涨跌幅%,场内规模(亿),流通规模(亿),成交额(亿),跟踪标的,基金类型,主题,同指数其他ETF
1,510300,沪深300ETF华泰柏瑞,4.624,-0.22,1093.52,1093.52,28.39,沪深300指数,指数型-股票,沪深300,沪深300ETF易方达(514.89亿)；沪深300ETF华夏(406.87亿)；沪深300ETF嘉实(303.57亿)；沪深300ETF天弘(82.15亿)
2,588000,科创50ETF华夏,1.681,-1.41,899.92,899.92,50.2,上证科创板50成份指数,指数型-股票,科创板,科创50ETF易方达(413.97亿)；科创50ETF工银(107.15亿)；科创50ETF广发(76.4亿)
3,159915,创业板ETF易方达,3.376,-1.11,651.28,651.28,54.55,创业板指数(价格),指数型-股票,创业板,创业板ETF广发(114.0亿)；创业板ETF天弘(64.75亿)
4,512880,证券ETF国泰,1.085,-0.55,607.17,607.17,15.19,中证全指证券公司指数,指数型-股票,证券,券商ETF华宝(375.11亿)；证券ETF天弘(117.55亿)；券商ETF银华(93.02亿)；证券ETF南方(81.62亿)
5,588200,科创芯片ETF嘉实,1.121,-1.58,483.14,483.14,23.64,上证科创板芯片指数,指数型-股票,半导体,科创芯片ETF汇添富(73.61亿)
6,510500,中证500ETF南方,7.788,0.22,430.78,430.78,22.54,中证500指数,指数型-股票,中证500,中证500ETF嘉实(88.43亿)；中证500ETF华夏(79.03亿)
7,159516,半导体设备ETF国泰,0.67,-1.76,413.05,413.05,22.79,中证半导体材料设备主题指数,指数型-股票,半导体,半导体设备ETF易方达(201.25亿)；半导体设备ETF广发(126.51亿)；半导体设备ETF华夏(86.04亿)
8,515880,通信ETF国泰,0.671,-0.89,410.77,410.77,33.2,中证全指通信设备指数,指数型-股票,通信,
9,588170,科创半导体ETF华夏,0.919,-1.61,405.53,405.53,36.73,上证科创板半导体材料设备主题指数,指数型-股票,半导体,科创半导体设备ETF华泰柏瑞(109.05亿)
10,563360,A500ETF华泰柏瑞,1.271,-0.31,393.3,393.3,37.56,中证A500指数,指数型-股票,中证A500,A500ETF南方(335.24亿)；A500ETF易方达(288.24亿)；中证A500ETF国泰(255.65亿)；A500ETF华夏(194.08亿)
11,512890,红利低波ETF华泰柏瑞,1.207,1.0,318.06,318.06,7.37,中证红利低波动指数,指数型-股票,红利,红利低波ETF易方达(124.19亿)
12,512400,有色金属ETF南方,1.901,1.55,272.8,272.8,9.58,有色金属,指数型-股票,有色金属,
13,159995,芯片ETF华夏,1.106,-1.25,272.75,272.75,6.96,国证半导体芯片指数,指数型-股票,半导体,半导体ETF鹏华(65.04亿)
14,512170,医疗ETF华宝,0.341,1.19,244.7,244.7,3.83,中证医疗指数,指数型-股票,医药,
15,159949,创业板50ETF华安,1.581,-1.19,243.3,243.3,15.33,创业板50指数,指数型-股票,创业板,
16,510050,上证50ETF华夏,3.017,-0.03,211.76,211.76,9.78,上证50指数,指数型-股票,上证50,
17,159819,人工智能ETF易方达,1.727,-1.31,209.61,209.61,2.92,中证人工智能主题指数,指数型-股票,人工智能,人工智能ETF华夏(82.63亿)
18,512100,中证1000ETF南方,3.106,0.29,204.23,204.23,24.97,中证1000指数,指数型-股票,中证1000,中证1000ETF华夏(79.63亿)；中证1000ETF广发(60.42亿)
19,515450,红利低波50ETF南方,1.416,0.14,199.7,199.7,1.25,标普中国A股大盘红利低波50指数,指数型-股票,红利,
20,512480,半导体ETF国联安,0.988,-1.4,199.64,199.64,11.36,中证全指半导体产品与设备指数,指数型-股票,半导体,
21,510880,红利ETF华泰柏瑞,3.446,1.65,192.02,192.02,5.05,上证红利指数,指数型-股票,红利,
22,159326,电网设备ETF华夏,1.645,-0.54,190.22,190.22,3.44,中证电网设备主题指数,指数型-股票,其他,
23,515180,红利ETF易方达,1.454,1.25,184.2,184.2,4.14,中证红利指数,指数型-股票,红利,中证红利ETF招商(109.29亿)
24,515050,通信ETF华夏,1.042,-0.67,179.92,179.92,10.26,中证5G通信主题指数,指数型-股票,通信,
25,562500,机器人ETF华夏,0.951,-0.52,175.06,175.06,3.76,中证机器人指数,指数型-股票,机器人,机器人ETF天弘(59.45亿)
26,510180,上证180ETF华安,3.959,0.15,175.03,175.03,0.64,上证180指数,指数型-股票,上证180,
27,159992,创新药ETF银华,0.849,0.95,171.54,171.54,7.23,中证创新药产业指数,指数型-股票,医药,创新药ETF广发(113.62亿)
28,159781,科创创业ETF易方达,1.046,-1.51,166.62,166.62,3.88,中证科创创业50指数,指数型-股票,科创板,
29,159530,机器人ETF易方达,1.318,-0.38,165.65,165.65,4.02,国证机器人产业指数,指数型-股票,机器人,
30,159201,自由现金流ETF华夏,1.19,0.68,161.43,161.43,1.8,国证自由现金流指数,指数型-股票,货币市场,
31,159928,消费ETF汇添富,0.683,0.0,157.8,157.8,2.36,中证主要消费指数,指数型-股票,消费,
32,512010,医药ETF易方达,0.379,0.26,151.92,151.92,3.42,沪深300医药卫生指数,指数型-股票,医药,
33,510210,上证指数ETF富国,1.007,0.2,144.49,144.49,6.98,上证综合指数,指数型-股票,其他,
34,517520,黄金股ETF永赢,2.179,0.88,139.04,139.04,4.19,中证沪深港黄金产业股票指数,指数型-股票,黄金,黄金股ETF华夏(61.55亿)
35,159870,化工ETF鹏华,0.81,1.89,137.47,137.47,3.46,细分化工,指数型-股票,化工,
36,512690,酒ETF鹏华,0.432,-0.23,137.09,137.09,3.41,中证酒指数,指数型-股票,白酒,
37,512070,证券保险ETF易方达,0.801,-0.74,133.21,133.21,3.29,沪深300非银行金融指数,指数型-股票,证券,
38,159206,卫星ETF永赢,1.35,-0.3,127.32,127.32,2.82,国证商用卫星通信产业指数,指数型-股票,通信,
39,513630,港股低波红利ETF摩根,1.603,0.82,120.42,120.42,2.56,标普港股通低波红利指数,指数型-股票,红利,
40,515220,煤炭ETF国泰,1.302,2.52,109.57,109.57,9.33,中证煤炭指数,指数型-股票,煤炭,
41,512760,芯片ETF国泰,1.048,-1.32,102.13,102.13,3.55,中华交易服务半导体芯片行业人民币指数,指数型-股票,半导体,
42,512800,银行ETF华宝,0.839,0.48,97.53,97.53,7.08,中证银行指数,指数型-股票,银行,
43,516650,有色金属ETF华夏,1.861,1.81,97.51,97.51,1.92,细分有色,指数型-股票,有色金属,
44,159611,电力ETF广发,1.043,0.77,96.11,96.11,2.79,中证全指电力公用事业指数,指数型-股票,电力,
45,159852,软件ETF嘉实,0.672,-1.03,94.21,94.21,3.13,中证软件服务指数,指数型-股票,计算机,
46,159869,游戏ETF华夏,1.148,0.09,88.01,88.01,4.21,中证动漫游戏指数,指数型-股票,传媒,
47,560860,工业有色ETF万家,1.619,1.57,86.96,86.96,2.48,中证工业有色金属主题指数,指数型-股票,有色金属,有色金属ETF天弘(67.85亿)
48,512660,军工ETF国泰,1.162,0.96,75.48,75.48,2.5,中证军工指数,指数型-股票,军工,
49,159263,价值ETF易方达,1.163,0.43,74.32,74.32,7.41,国证价值100指数,指数型-股票,价值,
50,159363,创业板人工智能ETF华宝,1.235,-1.36,73.26,73.26,9.15,创业板人工智能指数,指数型-股票,人工智能,
51,159307,红利低波100ETF博时,1.036,0.48,73.25,73.25,1.28,中证红利低波动100指数,指数型-股票,红利,红利低波ETF天弘(57.17亿)
52,512710,军工龙头ETF富国,0.645,2.06,72.98,72.98,3.21,中证军工龙头指数,指数型-股票,军工,
53,159755,电池ETF广发,0.892,-0.67,69.2,69.2,2.37,国证新能源车电池指数,指数型-股票,新能源,
54,563300,中证2000ETF华泰柏瑞,1.46,0.62,68.56,68.56,4.39,中证2000指数,指数型-股票,中证2000,
55,159259,成长ETF易方达,1.343,-0.44,68.38,68.38,11.4,国证成长100指数,指数型-股票,成长,
56,159865,养殖ETF国泰,0.574,0.35,67.14,67.14,2.77,中证畜牧养殖指数,指数型-股票,农业,
57,159851,金融科技ETF华宝,0.634,-0.63,65.21,65.21,2.68,中证金融科技主题指数,指数型-股票,其他,
58,588220,科创100ETF鹏华,1.731,-1.03,64.61,64.61,4.61,上证科创板100指数,指数型-股票,科创板,
59,515980,人工智能ETF华富,1.017,-1.17,63.94,63.94,2.41,中证人工智能产业指数,指数型-股票,人工智能,
60,516150,稀土ETF嘉实,1.685,-0.18,63.85,63.85,0.8,中证稀土产业指数,指数型-股票,有色金属,
61,512950,央企改革ETF华夏,1.501,0.2,60.69,60.69,0.13,中证央企结构调整指数,指数型-股票,央企国企,
62,561980,半导体设备ETF招商,,,,,,,,,
63,159967,创业板成长ETF华夏,,,,,,,,,
